rcs_m2,trial,method,pd,pfa,reports,observations,active_targets,capture,bits,delay_ms,sensing_allocated_w,communication_allocated_w,rho_mean,rho_std,rho_vector,power_search_seconds,table_builds,accepted_power_moves,predicted_objective_gain
0.2,49,uniform_power_joint,0.7,0.056666666666666664,3,40,10,0.975,1920.0,3.2,14.249999999999995,0.7500000000000007,0.9499999999999996,3.3306690738754696e-16,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]",0.0,0,0,0.0
0.2,49,node_power_fixed_set,0.7,0.06,3,40,10,0.975,1920.0,3.2,7.95,7.05,0.53,0.3385262175962151,"[0.95, 0.5, 0.2, 0.95, 0.95, 0.2, 0.2, 0.5, 0.2, 0.8, 0.2, 0.95, 0.2, 0.2, 0.95]",0.0,0,0,0.0
0.2,49,power_joint,0.8,0.056666666666666664,8,40,10,1.0,5120.0,8.533333333333335,6.150000000000001,8.85,0.4100000000000001,0.31368774282716244,"[0.95, 0.5, 0.2, 0.2, 0.95, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2]",30.92988970002625,188,14,0.6379246405206429
0.2,49,balanced_fixed_power,0.7,0.06666666666666667,8,60,10,0.95,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,56,v1,0.9,0.04666666666666667,2,22,10,1.0,1280.0,2.1333333333333333,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,56,joint_fixed_power,0.9,0.04666666666666667,2,22,10,1.0,1280.0,2.1333333333333333,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
0.2,56,uniform_power_joint,0.8,0.05333333333333334,0,22,10,1.0,0.0,0.0,14.249999999999995,0.7500000000000007,0.9499999999999996,3.3306690738754696e-16,"[0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]",0.0,0,0,0.0
0.2,56,node_power_fixed_set,0.9,0.043333333333333335,0,22,10,1.0,0.0,0.0,7.3500000000000005,7.6499999999999995,0.49000000000000005,0.3397057550292606,"[0.5, 0.2, 0.2, 0.95, 0.5, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95]",0.0,0,0,0.0
0.2,56,power_joint,0.9,0.043333333333333335,0,22,10,1.0,0.0,0.0,7.3500000000000005,7.6499999999999995,0.49000000000000005,0.3397057550292606,"[0.5, 0.2, 0.2, 0.95, 0.5, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95]",19.91234949999489,188,10,0.4570489672909277
0.2,56,balanced_fixed_power,0.9,0.04,8,60,10,1.0,5120.0,8.533333333333335,12.000000000000004,3.0,0.8000000000000003,2.220446049250313e-16,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",0.0,0,0,0.0
