trial,arm,receiver,target,gate,t_h1,thr_h1,det_h1,dof_h1,kappa_db,eta_survive,rho_weighted,rho_min,xi_rel,ncp_unit,ncp_best,calib_min_ratio,gate_targets,supported_targets,n_candidates,t_h0,thr_h0,det_h0,dof_h0
7,protected_ls,10,8,6.906033718222599e-13,10.56253940731044,20.66856907571369,0,28,8.07512929790374,0.9945778013702596,0.002337921934308352,1.949094828814857e-06,3.155767444243621e-08,0.017975636174096137,0.01177999037468757,1.31069678547413,0,0,0,14.690541500935113,20.66856907571369,0,28
7,tp_uic_stage1,10,8,6.906033718222599e-13,10.884712669043958,20.66856907571369,0,28,8.075178740635154,0.9948527894773149,0.0023410750394569947,1.953098444420442e-06,3.384523679059614e-08,0.01800494967575125,0.011803034356999427,1.1563453385191442,0,0,0,14.687879494377512,20.66856907571369,0,28
7,tp_uic_full,10,8,6.906033718222599e-13,17.097594302365742,20.66856907571369,0,28,34.07197532968459,1.0279243198777896,0.0037964061829047027,2.837887110808009e-06,6.259382401101742e-08,0.03010507069691689,0.021152367997193264,1.000000137970265,9,9,378,18.137248794295807,20.66856907571369,0,28
7,perfect_channel,10,8,6.906033718222599e-13,15.976516876844894,20.66856907571369,0,28,inf,1.0,0.00465491372239891,3.956792116262578e-06,1.2651877051264735e-07,0.03697974557262605,0.023243453540093884,1.0,0,0,0,18.713402340709415,20.66856907571369,0,28
8,no_ic,9,4,2.4837207056319607e-13,9.648459307302709,20.66856907571369,0,28,0.0,1.0,0.007328788847866937,1.2967535660748741e-11,7.337019057477112e-14,0.03492734418447289,0.034844410829531,2.22509091620946,0,0,0,14.719095676748063,20.66856907571369,0,28
8,fixed_kappa,9,4,2.4837207056319607e-13,11.905269617763764,20.66856907571369,0,28,39.999999999999986,1.0,0.007771007861340562,2.2111637753582764e-11,1.3243013065430654e-13,0.03754654950497451,0.0374181765566052,1.00012250909162,0,0,0,9.457691900798945,20.66856907571369,0,28
8,plain_ls,9,4,2.4837207056319607e-13,13.086116975072754,20.66856907571369,0,28,35.174143572765914,0.8467098957361433,0.006140188161088996,3.3651794509818792e-12,3.5801777506235764e-14,0.029218610661752274,0.029176846086691167,0.9999999999999972,0,0,0,13.668406105129662,20.66856907571369,0,28
8,ridge_ls,9,4,2.4837207056319607e-13,9.905497897124892,20.66856907571369,0,28,35.22046154986577,0.8482114712760429,0.006974993340922616,6.5456719377673124e-12,5.209109553152758e-14,0.03320188279688303,0.033144371661430236,0.9999999999999972,0,0,0,12.928794447087101,20.66856907571369,0,28
8,protected_ls,9,4,2.4837207056319607e-13,10.859879474794791,20.66856907571369,0,28,9.309832190767946,0.887484285958228,0.006905926996000298,9.575302880179565e-12,4.9511839182760024e-14,0.03130973008513551,0.03125094924537124,1.0447948653654284,0,0,0,17.337484283414888,20.66856907571369,0,28
8,tp_uic_stage1,9,4,2.4837207056319607e-13,11.289671121276522,20.66856907571369,0,28,9.310382609468782,0.8882744117446127,0.006981566403439361,1.0995335504042984e-11,5.954740364438789e-14,0.03166193499758936,0.03159799880055247,1.0274805389622501,0,0,0,17.63558026661138,20.66856907571369,0,28
8,tp_uic_full,9,4,2.4837207056319607e-13,9.298089889282483,20.66856907571369,0,28,32.03086406058181,0.9141849193591625,0.007121704777377652,7.702652559358442e-12,5.60524705080762e-14,0.03395378714093559,0.03389147819912827,1.0000000337816413,9,9,378,12.746203370520197,20.66856907571369,0,28
8,perfect_channel,9,4,2.4837207056319607e-13,12.28870430732004,20.66856907571369,0,28,inf,1.0,0.007820851801619927,2.2458433514262907e-11,1.3319656304946296e-13,0.03785575389708839,0.037726676826873466,1.0,0,0,0,9.633623933478914,20.66856907571369,0,28
9,no_ic,6,8,4.585169540462707e-13,26.754955383058398,20.66856907571369,1,28,0.0,1.0,0.013696414753785703,8.142278223458034e-09,2.1738446426775017e-10,0.3169632815671475,0.12963562409228563,2.369813294165338,0,0,0,29.750823095436363,20.66856907571369,1,28
9,fixed_kappa,6,8,4.585169540462707e-13,93.59634290139363,20.66856907571369,1,28,40.0,1.0,0.014062647333740762,1.3400908683789329e-08,2.92242334777134e-10,0.3288774192195112,0.1343563718064124,1.0001369813294165,0,0,0,80.5048690501626,20.66856907571369,1,28
9,plain_ls,6,8,4.585169540462707e-13,44.99969898599512,20.66856907571369,1,28,39.28939541037193,0.7657910179634863,0.01323715254941123,6.639588029679554e-09,9.167689401179455e-11,0.3057957314257157,0.1286943802804627,0.9999999999999983,0,0,0,33.278065166368236,20.66856907571369,1,28
9,ridge_ls,6,8,4.585169540462707e-13,26.021590190042822,20.66856907571369,1,28,39.2891369990353,0.7713803362694313,0.01342584373729145,7.029696404620724e-09,1.3678331891385157e-10,0.31027352488060755,0.1290686426162877,0.9999999999999979,0,0,0,34.01581790551635,20.66856907571369,1,28
9,protected_ls,6,8,4.585169540462707e-13,22.662844294399374,20.66856907571369,1,28,8.186429345922347,0.8205149431746607,0.013084278565864875,7.1583758854748724e-09,1.970784710162196e-10,0.28577212529703144,0.12413507737013221,1.011939081448415,0,0,0,33.42879415582264,20.66856907571369,1,28
9,tp_uic_stage1,6,8,4.585169540462707e-13,20.91213429344529,20.66856907571369,1,28,8.186560134377896,0.8230173312348414,0.013277579835415559,7.66994575301834e-09,2.0004987453160813e-10,0.2905503311319294,0.1251243946743971,1.008300569430405,0,0,0,30.02556020494618,20.66856907571369,1,28
9,tp_uic_full,6,8,4.585169540462707e-13,28.032939142733223,20.66856907571369,1,28,27.024572669201508,1.7735682489897677,0.01353748997314691,7.160054429623215e-09,1.6151003102186886e-10,0.311367764782455,0.12852394476776435,1.0000000323200817,10,10,420,32.53904636706802,20.66856907571369,1,28
9,perfect_channel,6,8,4.585169540462707e-13,97.51757948949626,20.66856907571369,1,28,inf,1.0,0.014068027505374572,1.3536136853543605e-08,2.9486259640852303e-10,0.32953357096608477,0.13460920439196467,1.0,0,0,0,81.64813768282139,20.66856907571369,1,28
10,no_ic,11,5,5.128067595156679e-13,17.330467641309234,20.66856907571369,0,28,0.0,1.0,0.0032078534037302243,1.6820356558217536e-09,6.902586843926694e-11,0.028544514406452347,0.024183175737301926,11.846060823710596,0,0,0,13.35503498116945,20.66856907571369,0,28
10,fixed_kappa,11,5,5.128067595156679e-13,19.789133078551338,20.66856907571369,0,28,40.00000000000003,1.0,0.004798076582390772,2.265052860412607e-09,1.4163324667936094e-10,0.05235548327498738,0.04478168593341362,1.0010846060823724,0,0,0,17.44211079758172,20.66856907571369,0,28
