scene,error_radius_m,normalized_error,receiver_count,retention_mean_over_subsets,retention_sd_over_subsets,minimum_uav_separation_m
6,50.0,0.3333333333333333,6,0.8850233876837861,0.0,150.9599809756607
6,150.0,1.0,1,0.4246055603825157,0.06891658623827318,150.9599809756607
6,150.0,1.0,2,0.4148470018432166,0.040800268579117976,150.9599809756607
6,150.0,1.0,3,0.4123399408116916,0.027589299060525773,150.9599809756607
6,150.0,1.0,4,0.41128921984448913,0.019180443401738398,150.9599809756607
6,150.0,1.0,5,0.410718504401186,0.012026134087741632,150.9599809756607
6,150.0,1.0,6,0.41036174109322116,0.0,150.9599809756607
6,250.0,1.6666666666666667,1,0.24652829570496534,0.0880649101609476,150.9599809756607
6,250.0,1.6666666666666667,2,0.2389528856282281,0.05439556896936882,150.9599809756607
6,250.0,1.6666666666666667,3,0.23741501430812123,0.03737956789332445,150.9599809756607
6,250.0,1.6666666666666667,4,0.23686968905837488,0.02606776721609652,150.9599809756607
6,250.0,1.6666666666666667,5,0.23660186867274102,0.016347501335988352,150.9599809756607
6,250.0,1.6666666666666667,6,0.2364456102512769,0.0,150.9599809756607
6,400.0,2.6666666666666665,1,0.08211561763790713,0.043997584608044975,150.9599809756607
6,400.0,2.6666666666666665,2,0.0803392740131777,0.02966270072342395,150.9599809756607
6,400.0,2.6666666666666665,3,0.08030254131471384,0.021397080194271365,150.9599809756607
6,400.0,2.6666666666666665,4,0.08040040036966228,0.015293021939916001,150.9599809756607
6,400.0,2.6666666666666665,5,0.08049082586094819,0.009733897437587648,150.9599809756607
6,400.0,2.6666666666666665,6,0.08056322892592814,0.0,150.9599809756607
7,0.0,0.0,1,0.9999999999999999,2.603703785810335e-16,51.69896611726983
7,0.0,0.0,2,1.0,2.1065000811460205e-16,51.69896611726983
7,0.0,0.0,3,1.0,1.5700924586837752e-16,51.69896611726983
7,0.0,0.0,4,1.0,8.599750569898517e-17,51.69896611726983
7,0.0,0.0,5,1.0,1.013490324081353e-16,51.69896611726983
7,0.0,0.0,6,1.0,0.0,51.69896611726983
7,50.0,0.3333333333333333,1,0.4075971936164448,0.21402753906698327,51.69896611726983
7,50.0,0.3333333333333333,2,0.3261324558569779,0.19262618699813416,51.69896611726983
7,50.0,0.3333333333333333,3,0.2811523774815381,0.15350580959310184,51.69896611726983
7,50.0,0.3333333333333333,4,0.25468133053526426,0.1120011945580956,51.69896611726983
7,50.0,0.3333333333333333,5,0.23859925113771005,0.06983315498037589,51.69896611726983
7,50.0,0.3333333333333333,6,0.22869166823442486,0.0,51.69896611726983
7,150.0,1.0,1,0.06187603582938974,0.0524764121700633,51.69896611726983
7,150.0,1.0,2,0.05684785345460256,0.03901708220662942,51.69896611726983
7,150.0,1.0,3,0.054307027808929154,0.03175213727942418,51.69896611726983
7,150.0,1.0,4,0.05258483801817253,0.025146293524066457,51.69896611726983
7,150.0,1.0,5,0.05121096697532163,0.01742362706726962,51.69896611726983
7,150.0,1.0,6,0.050018459406728506,0.0,51.69896611726983
7,250.0,1.6666666666666667,1,0.011934153281367732,0.01656857229583375,51.69896611726983
7,250.0,1.6666666666666667,2,0.014377855640258848,0.015926003895247683,51.69896611726983
7,250.0,1.6666666666666667,3,0.015466277451394912,0.013533772495091472,51.69896611726983
7,250.0,1.6666666666666667,4,0.015848356619973438,0.010548567540888416,51.69896611726983
7,250.0,1.6666666666666667,5,0.015855708525721615,0.007055548076077449,51.69896611726983
7,250.0,1.6666666666666667,6,0.015662857447912234,0.0,51.69896611726983
7,400.0,2.6666666666666665,1,0.004230843522835637,0.007910676506113554,51.69896611726983
7,400.0,2.6666666666666665,2,0.005728504286788468,0.007583901472610367,51.69896611726983
7,400.0,2.6666666666666665,3,0.006404782616005154,0.006365050878472353,51.69896611726983
7,400.0,2.6666666666666665,4,0.006670254311532347,0.0048966360543389485,51.69896611726983
7,400.0,2.6666666666666665,5,0.006721245320795342,0.003233983234437825,51.69896611726983
7,400.0,2.6666666666666665,6,0.0066580751987645485,0.0,51.69896611726983
8,0.0,0.0,1,0.9999999999999997,5.40105720123249e-16,112.37699855179721
8,0.0,0.0,2,0.9999999999999998,3.726558580289357e-16,112.37699855179721
8,0.0,0.0,3,0.9999999999999998,2.603703785810335e-16,112.37699855179721
8,0.0,0.0,4,0.9999999999999998,2.2388733033809317e-16,112.37699855179721
8,0.0,0.0,5,0.9999999999999997,1.199177923332954e-16,112.37699855179721
8,0.0,0.0,6,0.9999999999999994,0.0,112.37699855179721
8,50.0,0.3333333333333333,1,0.910448578386791,0.027040413563137806,112.37699855179721
8,50.0,0.3333333333333333,2,0.9085421471801004,0.01843612254177979,112.37699855179721
8,50.0,0.3333333333333333,3,0.9078151216674684,0.013419919103431948,112.37699855179721
8,50.0,0.3333333333333333,4,0.9074309728769204,0.009636280531063704,112.37699855179721
8,50.0,0.3333333333333333,5,0.9071933427851162,0.006152778958472535,112.37699855179721
8,50.0,0.3333333333333333,6,0.9070318126772878,0.0,112.37699855179721
8,150.0,1.0,1,0.36037756628069645,0.09631811925694075,112.37699855179721
8,150.0,1.0,2,0.35349299260431083,0.06538950792168109,112.37699855179721
8,150.0,1.0,3,0.35088166526350173,0.04749113873051879,112.37699855179721
8,150.0,1.0,4,0.34950546771483276,0.034055862120706576,112.37699855179721
8,150.0,1.0,5,0.3486554773341824,0.021725595236916875,112.37699855179721
8,150.0,1.0,6,0.34807828178241496,0.0,112.37699855179721
8,250.0,1.6666666666666667,1,0.019316835721675543,0.01634904642971371,112.37699855179721
8,250.0,1.6666666666666667,2,0.018547345020863207,0.01041345996750114,112.37699855179721
8,250.0,1.6666666666666667,3,0.018263089421144976,0.007359629552856381,112.37699855179721
8,250.0,1.6666666666666667,4,0.018115139923262566,0.005198484375399316,112.37699855179721
8,250.0,1.6666666666666667,5,0.01802442853432651,0.003284687073314309,112.37699855179721
8,250.0,1.6666666666666667,6,0.017963127824088376,0.0,112.37699855179721
8,400.0,2.6666666666666665,1,0.03886321864680293,0.019114470526383334,112.37699855179721
8,400.0,2.6666666666666665,2,0.03893618646077442,0.012014221293491802,112.37699855179721
8,400.0,2.6666666666666665,3,0.03900852719788911,0.008489918089522267,112.37699855179721
8,400.0,2.6666666666666665,4,0.03905611853513566,0.006005093958449895,112.37699855179721
8,400.0,2.6666666666666665,5,0.03908871145062421,0.003799634731755925,112.37699855179721
8,400.0,2.6666666666666665,6,0.0391122203071259,0.0,112.37699855179721
9,0.0,0.0,1,1.0,0.0,70.67850737418478
9,0.0,0.0,2,1.0,0.0,70.67850737418478
9,0.0,0.0,3,1.0,0.0,70.67850737418478
9,0.0,0.0,4,1.0,0.0,70.67850737418478
9,0.0,0.0,5,1.0,0.0,70.67850737418478
9,0.0,0.0,6,1.0,0.0,70.67850737418478
9,50.0,0.3333333333333333,1,0.79673229350916,0.11982824871693953,70.67850737418478
9,50.0,0.3333333333333333,2,0.7661078827832143,0.0936899701200736,70.67850737418478
9,50.0,0.3333333333333333,3,0.7538790464579278,0.06943761043198371,70.67850737418478
9,50.0,0.3333333333333333,4,0.747769139401514,0.04980991677732008,70.67850737418478
9,50.0,0.3333333333333333,5,0.7441530559192121,0.03176641794846481,70.67850737418478
9,50.0,0.3333333333333333,6,0.7417613939252228,0.0,70.67850737418478
9,150.0,1.0,1,0.21168531295131168,0.058569401055869705,70.67850737418478
9,150.0,1.0,2,0.2046881377981443,0.037194558265588144,70.67850737418478
9,150.0,1.0,3,0.2016270115254665,0.026020049920566616,70.67850737418478
9,150.0,1.0,4,0.20008749467725778,0.017894732459593898,70.67850737418478
9,150.0,1.0,5,0.19919454296089734,0.011133817242780657,70.67850737418478
9,150.0,1.0,6,0.19860909237365665,0.0,70.67850737418478
9,250.0,1.6666666666666667,1,0.03338355907821367,0.013718909584951396,70.67850737418478
9,250.0,1.6666666666666667,2,0.032607631524630185,0.009487376220500597,70.67850737418478
9,250.0,1.6666666666666667,3,0.03244855017025176,0.0068929550104456045,70.67850737418478
9,250.0,1.6666666666666667,4,0.032444164392709494,0.004898619814268456,70.67850737418478
9,250.0,1.6666666666666667,5,0.03247420345397657,0.0031243767187914876,70.67850737418478
9,250.0,1.6666666666666667,6,0.03250700140817594,0.0,70.67850737418478
9,400.0,2.6666666666666665,1,0.0074246717272853325,0.004579534673664128,70.67850737418478
9,400.0,2.6666666666666665,2,0.007111445686410863,0.0027785492127404467,70.67850737418478
9,400.0,2.6666666666666665,3,0.007004945850370449,0.0019565789855558458,70.67850737418478
9,400.0,2.6666666666666665,4,0.006960125959692922,0.0013502008277667481,70.67850737418478
9,400.0,2.6666666666666665,5,0.006936724655703226,0.0008340800786682848,70.67850737418478
9,400.0,2.6666666666666665,6,0.006922141228540083,0.0,70.67850737418478
10,0.0,0.0,1,0.9999999999999997,6.231111271582837e-16,76.75046244986429
10,0.0,0.0,2,1.0,3.671018087332943e-16,76.75046244986429
10,0.0,0.0,3,0.9999999999999998,2.0918204592287073e-16,76.75046244986429
10,0.0,0.0,4,0.9999999999999999,1.8129866073473578e-16,76.75046244986429
10,0.0,0.0,5,1.0,1.975656351854947e-16,76.75046244986429
10,0.0,0.0,6,0.9999999999999999,0.0,76.75046244986429
10,50.0,0.3333333333333333,1,0.7394751123290564,0.09862201350535749,76.75046244986429
10,50.0,0.3333333333333333,2,0.7427357499081276,0.07401339639497674,76.75046244986429
10,50.0,0.3333333333333333,3,0.7446913307334163,0.05602343607879839,76.75046244986429
10,50.0,0.3333333333333333,4,0.7458848829354411,0.04109001189347795,76.75046244986429
10,50.0,0.3333333333333333,5,0.7466771943863787,0.026585899444188037,76.75046244986429
10,50.0,0.3333333333333333,6,0.7472388457075574,0.0,76.75046244986429
10,150.0,1.0,1,0.037793815310649785,0.03162851538096273,76.75046244986429
