m_rx,trial,receiver,weak_target,arm,realisation,t_h1,t_h0,dT,covariance_protection
4,3,0,2,hard,4,5.871182824611315,1.4008744967276026,4.470308327883712,False
4,3,0,2,hard,5,5.018501238939982,3.1726527803611475,1.8458484585788346,False
4,3,0,2,hard,6,1.8207315449598205,8.502746723923465,-6.682015178963645,False
4,3,0,2,hard,7,2.394161876161043,3.9593508881227537,-1.565189011961711,False
4,3,0,2,adaptive,0,2.4999283597105952,6.343584617956455,-3.8436562582458595,False
4,3,0,2,adaptive,1,5.214962837807248,3.5375065939673966,1.6774562438398517,False
4,3,0,2,adaptive,2,9.99344613383707,5.153636238247121,4.839809895589949,False
4,3,0,2,adaptive,3,4.913510020996824,2.4378053036398435,2.475704717356981,False
4,3,0,2,adaptive,4,5.871182824611315,1.4008744967276026,4.470308327883712,False
4,3,0,2,adaptive,5,5.018501238939982,3.1726527803611475,1.8458484585788346,False
4,3,0,2,adaptive,6,1.8207315449598205,8.502746723923465,-6.682015178963645,False
4,3,0,2,adaptive,7,2.394161876161043,3.9593508881227537,-1.565189011961711,False
4,3,1,2,hard,0,31.67371478010815,25.654102664029274,6.019612116078875,False
4,3,1,2,hard,1,14.918966631904567,20.555019604814433,-5.636052972909866,False
4,3,1,2,hard,2,19.266630957495543,23.104283522972835,-3.837652565477292,False
4,3,1,2,hard,3,18.149153655068503,18.710123742389506,-0.5609700873210031,False
4,3,1,2,hard,4,26.132404355436684,19.040914693588903,7.091489661847781,False
4,3,1,2,hard,5,27.573274974000384,8.098790288889314,19.474484685111072,False
4,3,1,2,hard,6,26.980187871584107,18.608753021413985,8.371434850170122,False
4,3,1,2,hard,7,14.317655216624615,16.365446537582443,-2.0477913209578276,False
4,3,1,2,adaptive,0,31.67371478010815,25.654102664029274,6.019612116078875,False
4,3,1,2,adaptive,1,14.918966631904567,20.555019604814433,-5.636052972909866,False
4,3,1,2,adaptive,2,19.266630957495543,23.104283522972835,-3.837652565477292,False
4,3,1,2,adaptive,3,18.149153655068503,18.710123742389506,-0.5609700873210031,False
4,3,1,2,adaptive,4,26.132404355436684,19.040914693588903,7.091489661847781,False
4,3,1,2,adaptive,5,27.573274974000384,8.098790288889314,19.474484685111072,False
4,3,1,2,adaptive,6,26.980187871584107,18.608753021413985,8.371434850170122,False
4,3,1,2,adaptive,7,14.317655216624615,16.365446537582443,-2.0477913209578276,False
4,3,2,1,hard,0,5.566815415886765,9.00113386494137,-3.4343184490546044,False
4,3,2,1,hard,1,1.9116683202273927,6.423087801263295,-4.511419481035902,False
4,3,2,1,hard,2,3.5594454104016253,7.977707106073732,-4.418261695672106,False
4,3,2,1,hard,3,8.056164498540852,4.473807460801033,3.5823570377398193,False
4,3,2,1,hard,4,5.041880734021939,1.4240372333521882,3.6178435006697507,False
4,3,2,1,hard,5,2.1336790475530734,9.792161798423217,-7.658482750870144,False
4,3,2,1,hard,6,4.082403965642588,5.112791788293625,-1.0303878226510363,False
4,3,2,1,hard,7,11.209337936334265,4.5989636732456916,6.610374263088573,False
4,3,2,1,adaptive,0,5.573334046413344,8.985764464735484,-3.4124304183221392,False
4,3,2,1,adaptive,1,1.9034817100422519,6.404731422075243,-4.501249712032991,False
4,3,2,1,adaptive,2,3.5572619649424735,7.957417008891943,-4.40015504394947,False
4,3,2,1,adaptive,3,8.028769470516275,4.479992194198561,3.548777276317714,False
4,3,2,1,adaptive,4,5.041306295394034,1.425374973742602,3.6159313216514324,False
4,3,2,1,adaptive,5,2.129453095101045,9.779242708556612,-7.649789613455567,False
4,3,2,1,adaptive,6,4.077358942745286,5.097144096783332,-1.019785154038046,False
4,3,2,1,adaptive,7,11.213785084354614,4.601029981684719,6.612755102669895,False
