block,area_m,rcs_m2,trial,model,gate,rho,p_default,active_frac,sense_sinr_db,echo_db,field_db,near_far_db,residual_db
A,400.0,0.05,3,orthogonal,False,0.4,1.0,1.0,-14.02860245092034,-139.0410467950901,-85.99368084972893,53.04736594536117,-125.82437972590512
A,400.0,0.05,3,orthogonal,False,0.6,1.0,1.0,-13.784703763522096,-137.28013420453328,-84.23276825917212,53.04736594536117,-124.11917073130275
A,400.0,0.05,3,orthogonal,False,0.8,1.0,1.0,-13.657252666593013,-136.03074683845028,-82.98338089308912,53.04736594536117,-122.89790539967976
A,400.0,0.05,3,orthogonal,False,0.95,1.0,1.0,-13.62034426510158,-135.28441065548125,-82.23704471012007,53.04736594536117,-122.16495400704778
A,400.0,0.05,3,orthogonal,False,0.2,2.0,1.0,-14.199947327079101,-139.0410467950901,-85.99368084972893,53.04736594536117,-125.66143158762418
A,400.0,0.05,3,orthogonal,False,0.4,2.0,1.0,-13.727738448014053,-136.03074683845028,-82.98338089308912,53.04736594536117,-122.8140797692653
A,400.0,0.05,3,orthogonal,False,0.6,2.0,1.0,-13.613008549460268,-134.26983424789347,-81.2224683025323,53.04736594536117,-121.10887077466293
A,400.0,0.05,3,orthogonal,False,0.8,2.0,1.0,-13.514367936619077,-133.02044688181047,-79.9730809364493,53.04736594536117,-119.88760544303994
A,400.0,0.05,3,orthogonal,False,0.95,2.0,1.0,-13.483365836139157,-132.27411069884144,-79.22674475348026,53.04736594536117,-119.15465405040797
B,400.0,0.05,3,active_set,False,0.8,1.0,1.0,-14.581217180964517,-136.03074683845028,-82.01428076300856,54.016466075441734,-121.94576631525601
B,400.0,0.05,3,active_set,True,0.8,1.0,1.0,-14.581217180964517,-136.03074683845028,-82.01428076300856,54.016466075441734,-121.94576631525601
B,400.0,0.05,3,active_set,True,0.8,1.0,0.5,-11.2393861454961,-136.03074683845028,-86.18713829346848,49.843608544981805,-126.01028008499827
A,400.0,0.05,4,active_set,False,0.2,1.0,1.0,-22.836496866774418,-144.10001979067823,-82.07956627673335,62.020453513944894,-122.01002236691492
A,400.0,0.05,4,active_set,False,0.4,1.0,1.0,-19.826196910134605,-141.08971983403845,-82.07956627673335,59.01015355730508,-122.01002236691492
A,400.0,0.05,4,active_set,False,0.6,1.0,1.0,-18.065284319577792,-139.32880724348163,-82.07956627673335,57.24924096674827,-122.01002236691492
A,400.0,0.05,4,active_set,False,0.8,1.0,1.0,-16.815896953494793,-138.07941987739864,-82.07956627673335,55.99985360066527,-122.01002236691492
A,400.0,0.05,4,active_set,False,0.95,1.0,1.0,-16.06956077052575,-137.33308369442958,-82.07956627673335,55.25351741769622,-122.01002236691492
A,400.0,0.05,4,active_set,False,0.2,2.0,1.0,-22.675177608142747,-141.08971983403845,-79.06926632009353,62.020453513944894,-118.99972241027511
A,400.0,0.05,4,active_set,False,0.4,2.0,1.0,-19.664877651502934,-138.07941987739864,-79.06926632009353,59.01015355730508,-118.99972241027511
A,400.0,0.05,4,active_set,False,0.6,2.0,1.0,-17.90396506094612,-136.31850728684182,-79.06926632009353,57.24924096674827,-118.99972241027511
A,400.0,0.05,4,active_set,False,0.8,2.0,1.0,-16.65457769486312,-135.06911992075882,-79.06926632009353,55.99985360066527,-118.99972241027511
A,400.0,0.05,4,active_set,False,0.95,2.0,1.0,-15.908241511894081,-134.32278373778976,-79.06926632009353,55.25351741769622,-118.99972241027511
A,400.0,0.05,4,orthogonal,False,0.2,1.0,1.0,-17.116374347619274,-144.10001979067823,-89.06926632009353,55.030753470584706,-128.73217515339806
A,400.0,0.05,4,orthogonal,False,0.4,1.0,1.0,-16.30632804745281,-141.08971983403845,-86.05896636345372,55.030753470584706,-125.88715105337384
A,400.0,0.05,4,orthogonal,False,0.6,1.0,1.0,-16.048160978906086,-139.32880724348163,-84.2980537728969,55.0307534705847,-124.18275832447578
A,400.0,0.05,4,orthogonal,False,0.8,1.0,1.0,-15.910541470575605,-138.07941987739864,-83.04866640681391,55.030753470584706,-122.96190913886599
A,400.0,0.05,4,orthogonal,False,0.95,1.0,1.0,-15.859769279627523,-137.33308369442958,-82.30233022384488,55.0307534705847,-122.22915677510899
A,400.0,0.05,4,orthogonal,False,0.2,2.0,1.0,-16.541607679304455,-141.08971983403845,-86.05896636345372,55.030753470584706,-125.72187519675823
