block,area_m,rcs_m2,trial,model,gate,rho,p_default,active_frac,sense_sinr_db,echo_db,field_db,near_far_db,residual_db
A,400.0,0.05,7,active_set,False,0.4,2.0,1.0,-18.32374399349715,-137.92903462310073,-79.66245877931075,58.26657584378996,-119.58282952682389
A,400.0,0.05,7,active_set,False,0.6,2.0,1.0,-16.56283140294034,-136.16812203254392,-79.66245877931075,56.505663253233145,-119.58282952682389
A,400.0,0.05,7,active_set,False,0.8,2.0,1.0,-15.313444036857337,-134.91873466646092,-79.66245877931075,55.256275887150146,-119.58282952682389
A,400.0,0.05,7,active_set,False,0.95,2.0,1.0,-14.567107853888297,-134.17239848349186,-79.66245877931075,54.50993970418111,-119.58282952682389
A,400.0,0.05,7,orthogonal,False,0.2,1.0,1.0,-15.868603713354236,-143.94963453638036,-89.66245877931075,54.28717575706958,-129.27815613535665
A,400.0,0.05,7,orthogonal,False,0.4,1.0,1.0,-15.040593961288746,-140.93933457974055,-86.65215882267094,54.28717575706958,-126.45575806948288
A,400.0,0.05,7,orthogonal,False,0.6,1.0,1.0,-14.737026549454459,-139.17842198918373,-84.89124623211413,54.28717575706958,-124.7593305417289
A,400.0,0.05,7,orthogonal,False,0.8,1.0,1.0,-14.58066150680793,-137.92903462310073,-83.64185886603113,54.28717575706958,-123.54254835648122
A,400.0,0.05,7,orthogonal,False,0.95,1.0,1.0,-14.515702522369478,-137.18269844013167,-82.8955226830621,54.28717575706958,-122.81174258955343
A,400.0,0.05,7,orthogonal,False,0.2,2.0,1.0,-15.236977696865228,-140.93933457974055,-86.65215882267094,54.28717575706958,-126.26785617871683
A,400.0,0.05,7,orthogonal,False,0.4,2.0,1.0,-14.679339928711661,-137.92903462310073,-83.64185886603113,54.28717575706958,-123.44545811284307
A,400.0,0.05,7,orthogonal,False,0.6,2.0,1.0,-14.503236291109193,-136.16812203254392,-81.88094627547432,54.28717575706958,-121.74903058508909
A,400.0,0.05,7,orthogonal,False,0.8,2.0,1.0,-14.416498342560987,-134.91873466646092,-80.63155890939132,54.28717575706958,-120.53224839984141
A,400.0,0.05,7,orthogonal,False,0.95,2.0,1.0,-14.354956190589947,-134.17239848349186,-79.88522272642228,54.28717575706958,-119.80144263291362
