trial,m_rx,arm,t_h1,t_h0,thr,dof,det_h1,det_h0,rho_weighted,rho_min
0,8,perfect_channel,13.619943232376265,12.340364057887033,20.66856907571369,28,0.0,0.0,0.9398724560883274,0.9099306997105557
0,8,tp_uic_full,13.195449759741997,12.555817418656115,20.66856907571369,28,0.0,0.0,0.9399010784901698,0.9109469473469378
1,8,perfect_channel,13.810783227886258,12.855521334443948,20.66856907571369,28,0.0,0.0,0.800066498774561,0.6039774762316674
1,8,tp_uic_full,13.811761174514807,12.985365259143025,20.66856907571369,28,0.0,0.0,0.799904698798164,0.6033917892077653
2,8,perfect_channel,9.940282044343022,13.78961569831704,20.66856907571369,28,0.0,0.0,0.9502393369399764,0.8933948492666369
2,8,tp_uic_full,9.84846141543892,14.09770957853846,20.66856907571369,28,0.0,0.0,0.9501889142055545,0.8931650065163415
3,8,perfect_channel,17.464099423197297,13.350850310147269,20.66856907571369,28,0.0,0.0,0.9691759152281901,0.9146818521343525
3,8,tp_uic_full,16.693718812794973,14.170730615599904,20.66856907571369,28,0.0,0.0,0.9686066899153746,0.9134695897541658
4,8,perfect_channel,21.76353779123994,15.026332596733074,20.66856907571369,28,1.0,0.0,0.7473482407430241,0.0790230478713088
4,8,tp_uic_full,21.42363614055595,14.970373886520298,20.66856907571369,28,1.0,0.0,0.7457678054007325,0.07568266790347379
5,8,perfect_channel,14.243119023769172,19.688218823706386,20.66856907571369,28,0.0,0.0,0.9315388290430802,0.9007209303827717
5,8,tp_uic_full,13.872335804262537,19.87556839984471,20.66856907571369,28,0.0,0.0,0.931393241526301,0.9002344232105656
6,8,perfect_channel,15.552433546765558,15.012722596420552,20.66856907571369,28,0.0,0.0,0.9829025712356821,0.9473698871131943
6,8,tp_uic_full,15.567259608335906,15.0218992451261,20.66856907571369,28,0.0,0.0,0.9828768640303136,0.9473571778459241
7,8,perfect_channel,13.968142539444804,13.264875977532206,20.66856907571369,28,0.0,0.0,0.974893142265372,0.8596331546373038
7,8,tp_uic_full,13.994345314857616,13.23818011897174,20.66856907571369,28,0.0,0.0,0.974772740071855,0.859342782091323
8,8,perfect_channel,10.012133284941367,12.406814316736641,20.66856907571369,28,0.0,0.0,0.9929682779656052,0.9812445057225408
8,8,tp_uic_full,9.951286889810662,12.404065876667334,20.66856907571369,28,0.0,0.0,0.9929398348587997,0.9811111993246953
9,8,perfect_channel,17.939233328143814,13.134074113327998,20.66856907571369,28,0.0,0.0,0.8551252962845322,0.7742366109175132
9,8,tp_uic_full,18.491294974688127,13.209273752183446,20.66856907571369,28,0.0,0.0,0.8528560120636902,0.7673580323538645
10,8,perfect_channel,24.99581844542368,16.420572587461496,20.66856907571369,28,1.0,0.0,0.8749313073622539,0.42261161027740124
10,8,tp_uic_full,25.570329857491373,16.705686592573265,20.66856907571369,28,1.0,0.0,0.8740571102735325,0.4225664663218821
11,8,perfect_channel,11.27569263901911,10.078645682209167,20.66856907571369,28,0.0,0.0,0.8651137805700317,0.8113536547853223
11,8,tp_uic_full,11.392773076436582,9.934453377934343,20.66856907571369,28,0.0,0.0,0.8651003194689466,0.8113377239783192
12,8,perfect_channel,17.3031586772654,12.174534730419664,20.66856907571369,28,0.0,0.0,0.9831117064075867,0.9479711995447828
12,8,tp_uic_full,17.30523606693809,12.17084318067812,20.66856907571369,28,0.0,0.0,0.9831033728944818,0.9479390944518977
13,8,perfect_channel,13.303770896990018,19.286202960386667,20.66856907571369,28,0.0,0.0,0.847356307451115,0.31817547926467893
13,8,tp_uic_full,13.235387803842826,19.270729983738217,20.66856907571369,28,0.0,0.0,0.8472250205233551,0.3181717017340343
14,8,perfect_channel,11.479713317622448,16.919575228184744,20.66856907571369,28,0.0,0.0,0.960058761738071,0.9146449927166354
14,8,tp_uic_full,11.138001310139959,16.84730329866497,20.66856907571369,28,0.0,0.0,0.9599592493409591,0.9140282472845865
15,8,perfect_channel,10.913071956873681,27.580940384155497,20.66856907571369,28,0.0,1.0,0.5809998512086663,0.011165023736481277
15,8,tp_uic_full,11.176650352858323,27.243513193350235,20.66856907571369,28,0.0,1.0,0.578538316276968,0.0108645605885434
16,8,perfect_channel,10.713371908584788,16.065653824489246,20.66856907571369,28,0.0,0.0,0.6290285573364361,0.1749729038999126
