split,scene_id,boost_db,receiver,target,two_cpi_h1,two_cpi_h0,perfect_two_cpi_h1,perfect_two_cpi_h0,crossfit_map_h1,crossfit_map_h0
calibration,1,50.0,3,1,16.050443391795824,21.64136981082515,16.014669287872,19.60795241000963,16.249726539340184,19.71200578889809
calibration,1,50.0,3,2,90.76013172631178,41.04379205388516,36.6322551581088,9.290362680057607,37.379607732548855,10.299808174527353
calibration,2,10.0,0,0,11.327703196312584,11.829389234749973,14.896980719184018,12.587863665645115,10.84757712380968,10.03605971518447
calibration,2,10.0,0,1,11.806594260203429,18.401277709133925,11.553268440851426,18.54866389394767,11.714380808343002,18.466654229377255
calibration,2,10.0,0,2,15.272355978648623,15.658164471099933,14.77578618720949,14.914858432336228,15.131800899606652,15.174927507593644
calibration,2,10.0,1,0,32.673251200643904,11.980865592404301,30.761168211237404,10.897051108729691,31.677434174897392,11.55135333244904
calibration,2,10.0,1,1,13.826477796118535,9.952183325482087,13.768717688189419,9.80611897677344,13.761301141682623,9.813854286961845
calibration,2,10.0,1,2,13.946465203978931,16.997904093350755,13.732193601389287,16.173685495765056,14.100890248963225,17.324507568759174
calibration,2,10.0,2,0,18.183292042383815,14.776765605723593,24.327876863567024,14.324959239506434,15.71296090002745,8.943711843176771
calibration,2,10.0,2,1,10.040903826884456,13.262849602132533,10.188856476824999,13.34430506644073,10.124889911916522,13.356921882385961
calibration,2,10.0,2,2,24.235475931850157,13.588842838311866,22.125821563604482,15.197416370911855,22.270606048489636,14.308494839362861
calibration,2,10.0,3,0,13.395630821421971,18.127090704520093,14.639281315305787,17.682800943689706,13.442882737752761,18.37270495528255
calibration,2,10.0,3,1,9.996636206795845,11.23387983353108,9.911087187839467,11.237367627044467,9.984051117224485,11.226699954902852
calibration,2,10.0,3,2,13.67344344134582,9.700989243843889,13.507143084925602,10.040177079458912,13.713684342259064,10.015470007131562
calibration,2,30.0,0,0,23.307768787387467,31.28633077041753,10.777992164016212,15.934436344695428,10.36004429780596,13.52356115827552
calibration,2,30.0,0,1,12.97458438219596,11.190424778868854,13.003072844134739,11.172264162240293,12.995952429134777,11.166669865378037
calibration,2,30.0,0,2,16.138028189590756,18.511422047186304,14.85945979036171,19.42491656953034,16.400515886548355,18.474899507159094
calibration,2,30.0,1,0,28.041549915135413,11.562518846313708,29.49359199757661,11.75975801879452,26.511587645925168,11.089190374022895
calibration,2,30.0,1,1,12.563727853413408,12.09661472829784,12.508190001774086,12.051518522492717,12.504831355931369,12.09018241704812
calibration,2,30.0,1,2,13.347907461279423,8.645189988376837,15.467073875528744,8.739341124344296,13.412459540325642,8.54383371016295
calibration,2,30.0,2,0,14.240618347879932,10.727287312980508,11.819733599512336,11.337459943936874,10.784684375681701,8.60247772006907
calibration,2,30.0,2,1,18.207236415877414,10.303521908492755,18.238132095898465,10.619278871325971,18.207620637646194,10.312842552613235
calibration,2,30.0,2,2,16.421322421128927,13.279916435263061,14.68480174770907,15.25378513548462,16.158798008999977,12.862366586292511
calibration,2,30.0,3,0,25.78225138109004,17.628624482987213,20.865202439514892,15.474452410799508,24.95064073429542,18.032199522684756
calibration,2,30.0,3,1,8.925878241245314,13.26007014083521,9.281391335848399,13.18745389899334,9.250482540718165,13.155210407505404
calibration,2,30.0,3,2,13.54026268450535,12.865305187051803,12.787067265621733,13.109200035823605,13.417827092189247,12.9104176602212
calibration,2,50.0,0,0,17.068125926912096,16.163773474680056,19.463305798017995,13.71754877872128,13.617409806490095,13.042074156695886
calibration,2,50.0,0,1,17.94722224422528,9.960250793614021,17.57479054208477,10.07632636473842,17.65179510168319,10.146228215081162
calibration,2,50.0,0,2,19.05715056202729,15.03035099834527,15.7681787483852,11.484452467597226,17.040559503148614,11.983305140462864
calibration,2,50.0,1,0,33.44793551974749,33.83477347347009,11.104987315199267,17.09986642074167,8.279713282293567,14.796817054199416
calibration,2,50.0,1,1,10.23851867526304,11.817253157035147,10.654426706683338,12.079174756484388,10.502647207951341,11.995077756587254
calibration,2,50.0,1,2,12.870198095598754,9.476657212381749,14.083372113987258,9.661806865542939,14.494527355261614,9.368661000340293
calibration,2,50.0,2,0,16.56231718811781,21.841853196667287,24.213706118045472,15.60726365079223,11.809316776869828,14.4822199836238
calibration,2,50.0,2,1,12.068301921847132,13.012421106559792,12.635445627562515,14.893136582428813,12.474614383370028,15.17169644091695
calibration,2,50.0,2,2,15.49738728311751,9.468100951730841,15.782174840800234,9.750120596836533,15.330112367713873,9.763693907437275
calibration,2,50.0,3,0,43.336049417690994,25.944424240704564,20.34554324805859,14.1118693102601,21.167014416853576,12.738012251288588
calibration,2,50.0,3,1,22.669578617009307,11.81743653852459,22.942719716338416,11.584388607495857,22.988964068737953,11.729892234989567
calibration,2,50.0,3,2,18.65209264418968,20.117927849326627,15.429093843202832,18.80361293833198,15.377472349602066,17.748240967484524
test,3,10.0,0,0,38.7435378150646,12.106217089840722,38.55645372303282,12.08733818080131,38.43589618989892,12.14196277269209
test,3,10.0,0,1,12.746288138615942,15.427519688271907,12.845249336454835,15.530733243607326,12.725296317737268,15.436338600996297
test,3,10.0,0,2,10.960213865891388,10.568232936319976,10.907374771070337,10.658955440322561,10.933737813935661,10.585077225566597
test,3,10.0,1,0,20.800586825603173,13.922451856998158,23.97333810858133,14.667975781439697,20.801824580575484,13.944330241874646
test,3,10.0,1,1,11.863570561744638,13.349716448770536,11.253083847861365,13.880404795935718,11.740004982983468,13.402551207306086
test,3,10.0,1,2,19.410962573248796,10.061380606858215,20.46512199079602,10.682708472620815,19.54446674158302,10.524407349628131
test,3,10.0,2,0,17.951230301503323,11.445058604484622,17.569274536834104,11.524841561651833,17.787875809640752,11.469464214132694
test,3,10.0,2,1,14.396401203958629,13.482300086035691,14.83933078982147,13.63874364119903,14.324906511598552,13.534711690877359
test,3,10.0,2,2,15.179847938626608,18.52786538741458,15.408863225069634,18.31576771566688,15.101443869779759,18.84743507683686
test,3,10.0,3,0,35.739075346450406,9.158923137390568,37.811336383162384,10.07606868085714,35.736608641333035,8.5347238872957
test,3,10.0,3,1,14.632966528253599,10.73878261189477,14.648986109132192,10.72363417278509,14.542181689512374,10.761825636589492
test,3,10.0,3,2,12.968058817279857,12.05464756027726,14.741210415245337,11.965860766332,13.068200725726726,11.487656000786593
test,3,30.0,0,0,49.50088306071699,13.411244664248596,50.551421102421536,12.74573429881682,49.62981541593022,13.23299780623146
test,3,30.0,0,1,10.43408899166036,11.171235293579045,10.373776406909226,11.02972083569989,10.43474256965606,11.205977774845772
test,3,30.0,0,2,8.890390921703158,9.540656390865712,8.965077315706026,9.530826716276241,8.960824512423848,9.534250106658924
test,3,30.0,1,0,24.495438017092518,11.920019201115577,35.21353719786267,11.023962925307325,26.322931440402265,9.632980386466526
test,3,30.0,1,1,13.150433923614766,12.949054999238456,13.430981582561923,13.256196329762027,13.038845832429764,12.826471642999229
test,3,30.0,1,2,13.075297233524216,10.952978226785344,13.946211170261925,12.881254296347302,12.743556154884619,11.292785506181822
test,3,30.0,2,0,33.72936219299366,12.473329271629197,35.366574437755176,12.392122044679368,35.40098235999805,12.60465563061851
test,3,30.0,2,1,16.281225096399112,9.397607315704679,15.395936650864819,9.198262268144502,16.69623560243864,9.065044084611959
test,3,30.0,2,2,10.746300547826564,13.095720393157597,10.035115292061601,12.042008940164287,10.273892833141868,12.851698191559557
test,3,30.0,3,0,47.28002245365125,16.249894350871465,56.10064143078796,13.838448632318869,47.784643574477315,16.146257112696173
