split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,selected_base_arm,conflict_index,direct_inr_db,tested_protected,n_protected_targets,stat_h0,stat_h1,dof_real,identifiable_fraction,ncp_unit,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,protect_dim,n_coefficients,calibration_error_db
calibration,2,0,1,0,0.0,perfect_channel,perfect_channel,0.011701796165200269,-3.611471874819867,1,3,4.224787316644625,6.805124345053406,10,0.9683205012668904,1.2887954332006755,inf,inf,2.732586890672491e-10,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9951099963298644,0,5,nan
calibration,2,0,1,1,0.0,no_ic,no_ic,0.0078526856424539,-4.313905911119063,1,3,5.750459230103812,3.5546055398635197,10,0.9646203091009965,1.275461548601193,0.0,0.0,2.3245054934980184e-10,2.3245054934980184e-10,2.3245054934980184e-10,0.0,1.0,1.0,1.0,1.0,0.9963300736257603,0,5,0.0
calibration,2,0,1,1,0.0,plain_ls,plain_ls,0.0078526856424539,-4.313905911119063,1,3,5.7537543589130475,3.5437691849101602,10,0.9645946028787887,1.275368019836073,14.483358892989234,14.527797032346383,2.3245054934980184e-10,8.279320361542166e-12,8.195036149607229e-12,8.428421193493813e-14,0.9995417062051767,0.9998612419745025,0.9998532871203374,0.9936302519891638,0.9963300736257603,0,5,16.362340993519553
calibration,2,0,1,1,0.0,protected_ls,protected_ls,0.0078526856424539,-4.313905911119063,1,3,5.625299597754793,3.6266959481210437,10,0.9540708032148429,1.242779316722995,12.664169538620357,12.691324333673446,2.3245054934980184e-10,1.2586750485964971e-11,1.2508295814375618e-11,7.845467158935362e-14,0.9999913705874861,0.9999966765742778,0.9999999999999999,0.9997306607767664,0.9963300736257603,45,5,4.812845463678219
calibration,2,0,1,1,0.0,tp_uic_full,tp_uic_full,0.0078526856424539,-4.313905911119063,1,3,5.754593116579737,3.542998697222967,10,0.964717907616971,1.275809983595378,14.484360863196503,14.527681794275784,2.3245054934980184e-10,8.277410441935474e-12,8.1952536040588e-12,8.215683787667403e-14,1.0002336307000264,1.00014239599001,1.000315244153467,0.9945778375774793,0.9963300736257603,45,5,16.349043035757933
calibration,2,0,1,1,0.0,detection_aware_tpuic,tp_uic_full,0.0078526856424539,-4.313905911119063,1,3,5.754593116579737,3.542998697222967,10,0.964717907616971,1.275809983595378,14.484360863196503,14.527681794275784,2.3245054934980184e-10,8.277410441935474e-12,8.1952536040588e-12,8.215683787667403e-14,1.0002336307000264,1.00014239599001,1.000315244153467,0.9945778375774793,0.9963300736257603,45,5,16.349043035757933
calibration,2,0,1,1,0.0,perfect_channel,perfect_channel,0.0078526856424539,-4.313905911119063,1,3,5.706017658040021,3.826859722195162,10,0.9683205012668904,1.2887954332006755,inf,inf,2.3245054934980184e-10,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9963300736257603,0,5,nan
calibration,2,0,1,0,30.0,no_ic,no_ic,0.011701796165200179,26.388528125180134,1,3,11.186516859542696,10.742309591042428,10,0.9630674121744977,1.2692304466049238,0.0,0.0,2.732586890672491e-07,2.732586890672491e-07,2.732586890672491e-07,0.0,1.0,1.0,1.0,1.0,0.9951099963298644,0,5,0.0
calibration,2,0,1,0,30.0,plain_ls,plain_ls,0.011701796165200179,26.388528125180134,1,3,11.185069395233025,10.741171916337617,10,0.9630736194883427,1.2692422911230181,15.04817087385649,15.048202688413486,2.732586890672491e-07,8.545882024972614e-09,8.545819421723842e-09,6.260324877262865e-14,0.9996017949976997,0.9998560018107319,0.9997691608533137,0.993328477033546,0.9951099963298644,0,5,46.49486168909856
calibration,2,0,1,0,30.0,protected_ls,protected_ls,0.011701796165200179,26.388528125180134,1,3,12.10019585372442,11.425948977452617,10,0.9592828916595363,1.2563628173808978,14.472824740798274,14.472852322640177,2.732586890672491e-07,9.756442883622281e-09,9.756380921101032e-09,6.196252124913621e-14,0.9999910551672324,0.9999934905502638,0.9999999999999999,0.9996657615191222,0.9951099963298644,45,5,3.7359903151212444
calibration,2,0,1,0,30.0,tp_uic_full,tp_uic_full,0.011701796165200179,26.388528125180134,1,3,11.185524510216748,10.748045135690772,10,0.9632587746620503,1.2699060885559157,15.048130975505083,15.048163678247235,2.732586890672491e-07,8.545960535795235e-09,8.545896184231207e-09,6.435156402876705e-14,1.000541882569644,1.0001154052548464,1.0004687344174852,0.9943840883652606,0.9951099963298644,45,5,46.48055823888565
calibration,2,0,1,0,30.0,detection_aware_tpuic,tp_uic_full,0.011701796165200179,26.388528125180134,1,3,11.185524510216748,10.748045135690772,10,0.9632587746620503,1.2699060885559157,15.048130975505083,15.048163678247235,2.732586890672491e-07,8.545960535795235e-09,8.545896184231207e-09,6.435156402876705e-14,1.000541882569644,1.0001154052548464,1.0004687344174852,0.9943840883652606,0.9951099963298644,45,5,46.48055823888565
calibration,2,0,1,0,30.0,perfect_channel,perfect_channel,0.011701796165200179,26.388528125180134,1,3,4.224787316644624,6.805124345053402,10,0.9683205012668904,1.2887954332006755,inf,inf,2.732586890672491e-07,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9951099963298644,0,5,nan
calibration,2,0,1,1,30.0,no_ic,no_ic,0.00785268564245393,25.686094088880935,1,3,7.339125023436265,3.2749347801243442,10,0.9642298608794609,1.2741633595416768,0.0,0.0,2.3245054934980182e-07,2.3245054934980182e-07,2.3245054934980182e-07,0.0,1.0,1.0,1.0,1.0,0.9963300736257603,0,5,0.0
calibration,2,0,1,1,30.0,plain_ls,plain_ls,0.00785268564245393,25.686094088880935,1,3,7.3391928885291895,3.274764616391727,10,0.9642355244698224,1.2741736478818193,14.527752366308,14.527797032346385,2.3245054934980182e-07,8.195120433819159e-09,8.195036149607224e-09,8.42842119349418e-14,0.9995417062051767,0.9998612419745025,0.9998532871203374,0.9936302519891638,0.9963300736257603,0,5,46.31284618547548
