trial,arm,belief_term,t_h1,thr_h1,det_h1,t_h0,thr_h0,det_h0
35,perfect_channel,1,11.066433621006826,20.66856907571369,0.0,16.49794266395565,20.66856907571369,0.0
35,tp_uic_stage1,1,15.90845627579615,20.66856907571369,0.0,15.129446386081643,20.66856907571369,0.0
35,tp_uic_full,1,12.776158232528957,20.66856907571369,0.0,14.12678631180934,20.66856907571369,0.0
36,perfect_channel,0,12.500186310969628,20.66856907571369,0.0,12.444119969287737,20.66856907571369,0.0
36,tp_uic_stage1,0,11.576430868143618,20.66856907571369,0.0,15.298688389350769,20.66856907571369,0.0
36,tp_uic_full,0,12.599094143974561,20.66856907571369,0.0,13.199480894612506,20.66856907571369,0.0
36,perfect_channel,1,11.230574962939253,20.66856907571369,0.0,13.53458688130846,20.66856907571369,0.0
36,tp_uic_stage1,1,10.750819893054391,20.66856907571369,0.0,14.905514426318783,20.66856907571369,0.0
36,tp_uic_full,1,11.487333754536138,20.66856907571369,0.0,12.849739185855768,20.66856907571369,0.0
37,perfect_channel,0,11.359342079676155,20.66856907571369,0.0,25.354346316181438,20.66856907571369,1.0
37,tp_uic_stage1,0,15.172242073931603,20.66856907571369,0.0,26.800292885843966,20.66856907571369,1.0
37,tp_uic_full,0,12.401654362736167,20.66856907571369,0.0,25.876838310221075,20.66856907571369,1.0
37,perfect_channel,1,9.031248889464415,20.66856907571369,0.0,17.080917717283416,20.66856907571369,0.0
37,tp_uic_stage1,1,12.597926915991925,20.66856907571369,0.0,16.9198330207236,20.66856907571369,0.0
37,tp_uic_full,1,8.93557372325809,20.66856907571369,0.0,16.184218058406607,20.66856907571369,0.0
38,perfect_channel,0,18.259113730871555,20.66856907571369,0.0,19.366090964908345,20.66856907571369,0.0
38,tp_uic_stage1,0,14.42546268136416,20.66856907571369,0.0,19.633548819610496,20.66856907571369,0.0
38,tp_uic_full,0,13.5790577349646,20.66856907571369,0.0,18.146777418863135,20.66856907571369,0.0
38,perfect_channel,1,12.936626267639289,20.66856907571369,0.0,15.934895992308917,20.66856907571369,0.0
38,tp_uic_stage1,1,10.821060724151483,20.66856907571369,0.0,18.00238771436977,20.66856907571369,0.0
38,tp_uic_full,1,9.34610768348487,20.66856907571369,0.0,15.653684318850798,20.66856907571369,0.0
39,perfect_channel,0,14.983588597687028,20.66856907571369,0.0,20.457163230279562,20.66856907571369,0.0
39,tp_uic_stage1,0,14.997258756927959,20.66856907571369,0.0,19.919828025455267,20.66856907571369,0.0
39,tp_uic_full,0,15.106860953869058,20.66856907571369,0.0,21.195568770006343,20.66856907571369,1.0
39,perfect_channel,1,15.475804049305978,20.66856907571369,0.0,18.766424454829778,20.66856907571369,0.0
39,tp_uic_stage1,1,15.723651797238357,20.66856907571369,0.0,19.30775009710692,20.66856907571369,0.0
39,tp_uic_full,1,15.842035674984206,20.66856907571369,0.0,19.503384893340037,20.66856907571369,0.0
40,perfect_channel,0,23.69393578904544,20.66856907571369,1.0,20.003841134073966,20.66856907571369,0.0
40,tp_uic_stage1,0,16.635490187917462,20.66856907571369,0.0,12.335718505611485,20.66856907571369,0.0
40,tp_uic_full,0,20.657978489782185,20.66856907571369,0.0,13.026832263207034,20.66856907571369,0.0
40,perfect_channel,1,21.222734866042813,20.66856907571369,1.0,18.55441886222203,20.66856907571369,0.0
40,tp_uic_stage1,1,16.59131462714005,20.66856907571369,0.0,10.384540093321036,20.66856907571369,0.0
