trial,budget,method,pd,pfa,pfa_active,active_targets,reports,observations,selected,detected_per_target
15,0,sense_sinr_budgeted,0.4,0.03666666666666667,0.09166666666666666,4,0,12,"{""0"": [], ""1"": [[5, 14], [9, 14], [0, 14], [13, 14], [11, 14]], ""2"": [], ""3"": [], ""4"": [[11, 5]], ""5"": [[10, 8], [2, 8]], ""6"": [], ""7"": [[5, 14], [11, 14], [9, 14], [12, 14]], ""8"": [], ""9"": []}","[0, 1, 0, 0, 1, 1, 0, 1, 0, 0]"
15,0,balanced_sinr,1.0,0.07333333333333333,0.07333333333333333,10,0,12,"{""0"": [[12, 9]], ""1"": [[5, 14], [9, 14]], ""2"": [[14, 5]], ""3"": [[10, 9]], ""4"": [[11, 5]], ""5"": [[10, 8]], ""6"": [[0, 13]], ""7"": [[5, 14], [11, 14]], ""8"": [[4, 3]], ""9"": [[4, 11]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
16,0,proposed_c2f_adaptive_pd,1.0,0.06,0.06,10,0,10,"{""0"": [[3, 7]], ""1"": [[7, 0]], ""2"": [[1, 12]], ""3"": [[0, 9]], ""4"": [[0, 2]], ""5"": [[5, 12]], ""6"": [[0, 1]], ""7"": [[0, 1]], ""8"": [[6, 0]], ""9"": [[5, 10]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
16,0,sense_sinr_budgeted,0.5,0.006666666666666667,0.013333333333333334,5,0,12,"{""0"": [[12, 7], [11, 7], [3, 7]], ""1"": [], ""2"": [[7, 12]], ""3"": [[0, 9]], ""4"": [[4, 2], [11, 2], [8, 2], [9, 2], [7, 2]], ""5"": [], ""6"": [], ""7"": [[13, 1], [5, 1]], ""8"": [], ""9"": []}","[1, 0, 1, 1, 1, 0, 0, 1, 0, 0]"
16,0,balanced_sinr,1.0,0.03,0.03,10,0,12,"{""0"": [[12, 7]], ""1"": [[12, 0]], ""2"": [[7, 12]], ""3"": [[0, 9]], ""4"": [[4, 2], [11, 2]], ""5"": [[10, 12]], ""6"": [[10, 1]], ""7"": [[13, 1], [5, 1]], ""8"": [[14, 0]], ""9"": [[12, 10]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
17,0,proposed_c2f_adaptive_pd,1.0,0.05,0.05,10,0,10,"{""0"": [[0, 1]], ""1"": [[0, 1]], ""2"": [[0, 9]], ""3"": [[1, 0]], ""4"": [[0, 2]], ""5"": [[0, 1]], ""6"": [[6, 4]], ""7"": [[0, 9]], ""8"": [[1, 2]], ""9"": [[0, 3]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
17,0,sense_sinr_budgeted,0.7,0.02,0.02857142857142857,7,0,12,"{""0"": [[11, 1], [4, 1]], ""1"": [], ""2"": [[2, 9]], ""3"": [[5, 0], [3, 0]], ""4"": [[9, 2], [6, 2]], ""5"": [], ""6"": [], ""7"": [[2, 9]], ""8"": [[8, 2]], ""9"": [[0, 3], [14, 3], [5, 3]]}","[1, 0, 1, 1, 1, 0, 0, 1, 1, 1]"
17,0,balanced_sinr,1.0,0.03333333333333333,0.03333333333333333,10,0,12,"{""0"": [[11, 1]], ""1"": [[11, 1]], ""2"": [[2, 9]], ""3"": [[5, 0]], ""4"": [[9, 2], [6, 2]], ""5"": [[0, 1]], ""6"": [[6, 4]], ""7"": [[2, 9]], ""8"": [[8, 2]], ""9"": [[0, 3], [14, 3]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
18,0,proposed_c2f_adaptive_pd,1.0,0.03666666666666667,0.03666666666666667,10,0,10,"{""0"": [[3, 1]], ""1"": [[1, 12]], ""2"": [[1, 9]], ""3"": [[5, 12]], ""4"": [[1, 13]], ""5"": [[0, 6]], ""6"": [[7, 4]], ""7"": [[0, 7]], ""8"": [[2, 1]], ""9"": [[2, 11]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
18,0,sense_sinr_budgeted,0.5,0.03333333333333333,0.06666666666666667,5,0,12,"{""0"": [], ""1"": [[9, 12]], ""2"": [[12, 9], [8, 9]], ""3"": [], ""4"": [], ""5"": [[0, 6], [2, 6], [10, 6]], ""6"": [], ""7"": [[10, 7], [12, 7], [5, 7], [2, 7]], ""8"": [[14, 1], [4, 1]], ""9"": []}","[0, 1, 1, 0, 0, 1, 0, 1, 1, 0]"
18,0,balanced_sinr,1.0,0.056666666666666664,0.056666666666666664,10,0,12,"{""0"": [[13, 1]], ""1"": [[9, 12]], ""2"": [[12, 9]], ""3"": [[8, 12]], ""4"": [[3, 13]], ""5"": [[0, 6], [2, 6]], ""6"": [[7, 4]], ""7"": [[10, 7], [12, 7]], ""8"": [[14, 1]], ""9"": [[4, 11]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
19,0,proposed_c2f_adaptive_pd,0.9,0.06,0.06,10,0,12,"{""0"": [[1, 8]], ""1"": [[0, 6]], ""2"": [[10, 3]], ""3"": [[0, 11]], ""4"": [[5, 0]], ""5"": [[0, 14]], ""6"": [[4, 11]], ""7"": [[0, 1]], ""8"": [[12, 8], [10, 8], [5, 8]], ""9"": [[0, 14]]}","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
19,0,sense_sinr_budgeted,0.4,0.02,0.05,4,0,12,"{""0"": [], ""1"": [[7, 6], [14, 6]], ""2"": [], ""3"": [[13, 11], [6, 11], [7, 11], [9, 11]], ""4"": [], ""5"": [], ""6"": [], ""7"": [[2, 1], [4, 1], [0, 1]], ""8"": [], ""9"": [[6, 14], [4, 14], [1, 14]]}","[0, 1, 0, 1, 0, 0, 0, 1, 0, 1]"
19,0,balanced_sinr,0.9,0.056666666666666664,0.056666666666666664,10,0,12,"{""0"": [[6, 8]], ""1"": [[7, 6]], ""2"": [[10, 3]], ""3"": [[13, 11], [6, 11]], ""4"": [[5, 0]], ""5"": [[12, 14]], ""6"": [[7, 11]], ""7"": [[2, 1], [4, 1]], ""8"": [[12, 8]], ""9"": [[6, 14]]}","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]"
20,0,proposed_c2f_adaptive_pd,1.0,0.04666666666666667,0.04666666666666667,10,0,11,"{""0"": [[0, 9]], ""1"": [[7, 14], [3, 14]], ""2"": [[3, 14]], ""3"": [[0, 3]], ""4"": [[3, 12]], ""5"": [[2, 1]], ""6"": [[4, 1]], ""7"": [[8, 7]], ""8"": [[0, 10]], ""9"": [[2, 0]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
20,0,sense_sinr_budgeted,0.3,0.013333333333333334,0.044444444444444446,3,0,12,"{""0"": [[4, 9], [0, 9], [6, 9], [11, 9]], ""1"": [], ""2"": [], ""3"": [[5, 3], [8, 3], [10, 3], [12, 3]], ""4"": [], ""5"": [], ""6"": [], ""7"": [], ""8"": [], ""9"": [[6, 0], [7, 0], [9, 0], [2, 0]]}","[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
20,0,balanced_sinr,1.0,0.043333333333333335,0.043333333333333335,10,0,12,"{""0"": [[4, 9], [0, 9]], ""1"": [[7, 14]], ""2"": [[3, 14]], ""3"": [[5, 3]], ""4"": [[5, 12]], ""5"": [[4, 1]], ""6"": [[9, 1]], ""7"": [[8, 7]], ""8"": [[11, 10]], ""9"": [[6, 0], [7, 0]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
21,0,proposed_c2f_adaptive_pd,1.0,0.03666666666666667,0.03666666666666667,10,0,10,"{""0"": [[1, 11]], ""1"": [[1, 14]], ""2"": [[2, 14]], ""3"": [[3, 6]], ""4"": [[6, 3]], ""5"": [[0, 2]], ""6"": [[0, 8]], ""7"": [[3, 11]], ""8"": [[1, 14]], ""9"": [[0, 2]]}","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
