split,scene_id,scale,stat_h0,stat_h1,h0_inflation
calibration,23,0.75,8.995156228510197,13.558379491736098,1.7990312457020394
calibration,23,1.0,9.03490621623271,13.578070444599895,1.806981243246542
calibration,23,1.5,9.102660628489351,13.613555753903242,1.8205321256978704
calibration,23,2.0,9.155526105809402,13.642436277671646,1.8311052211618803
calibration,24,0.5,4.218558969399364,6.056124270694576,0.8437117938798728
calibration,24,0.75,3.959926614464071,6.263450378842033,0.7919853228928142
calibration,24,1.0,3.8215195720005495,6.438359706047275,0.7643039144001099
calibration,24,1.5,3.6751850800374157,6.711418973910132,0.7350370160074832
calibration,24,2.0,3.5982807219539596,6.9160106510463155,0.719656144390792
calibration,25,0.5,5.62827809374132,4.249890057871161,1.125655618748264
calibration,25,0.75,5.646909342255839,4.2361177641362575,1.1293818684511678
calibration,25,1.0,5.667659157288735,4.219275309255943,1.1335318314577472
calibration,25,1.5,5.70854643592245,4.188249681345042,1.14170928718449
calibration,25,2.0,5.746106389041014,4.163559525094068,1.1492212778082027
calibration,26,0.5,8.527270709606631,10.59870042523967,1.7054541419213263
calibration,26,0.75,8.53889607659525,10.550142507637187,1.70777921531905
calibration,26,1.0,8.540934212743817,10.520088440119023,1.7081868425487634
calibration,26,1.5,8.536986552134767,10.484780275679974,1.7073973104269533
calibration,26,2.0,8.530863099734296,10.465068757608645,1.7061726199468592
calibration,27,0.5,7.270358399499899,6.667212938144382,1.4540716798999798
calibration,27,0.75,7.346877519512814,6.686537459137581,1.4693755039025629
calibration,27,1.0,7.405022499193635,6.700011673357279,1.4810044998387268
calibration,27,1.5,7.486631697564941,6.715703172266958,1.497326339512988
calibration,27,2.0,7.541103408899207,6.72404125652795,1.5082206817798414
calibration,28,0.5,5.772754266424631,3.722072900722157,1.1545508532849262
calibration,28,0.75,5.736259433134018,3.714320224713024,1.1472518866268036
calibration,28,1.0,5.716208763123951,3.7112640175321716,1.1432417526247902
calibration,28,1.5,5.688339107422349,3.7097023704687815,1.1376678214844698
calibration,28,2.0,5.6653510836457075,3.7101900276901505,1.1330702167291415
calibration,29,0.5,7.9367966791432805,5.146419703715015,1.5873593358286562
