trial,arm,receiver,target,gate,t_h1,thr_h1,det_h1,dof_h1,cov_rank_h1,min_ratio_h1,t_h0,thr_h0,det_h0,dof_h0,cov_rank_h0,min_ratio_h0
73,tp_uic_stage1,7,4,5.452876024740129e-13,8.158268103652345,20.66856907571369,0,28,28,1.000257352863315,13.481037423233877,20.66856907571369,0,28,28,1.000257352863315
74,perfect_channel,2,8,4.358717598846896e-13,17.8976939052053,20.66856907571369,0,28,0,1.0,11.837150954011975,20.66856907571369,0,28,0,1.0
74,no_ic,2,8,4.358717598846896e-13,16.547828675014877,20.66856907571369,0,28,14,1.8819502025309902,8.496920621060982,20.66856907571369,0,28,14,1.8819502025309902
74,tp_uic_stage1,2,8,4.358717598846896e-13,15.71967603206376,20.66856907571369,0,28,28,1.0273409400741602,9.88309522487564,20.66856907571369,0,28,28,1.0273409400741602
75,perfect_channel,8,9,2.113936249602396e-13,21.550095591107542,20.66856907571369,1,28,0,1.0,13.50359559981797,20.66856907571369,0,28,0,1.0
75,no_ic,8,9,2.113936249602396e-13,22.64157008756625,20.66856907571369,1,28,14,89.9185879108139,16.283023345801354,20.66856907571369,0,28,14,89.9185879108139
75,tp_uic_stage1,8,9,2.113936249602396e-13,23.716604071458402,20.66856907571369,1,28,28,1.653090572499908,13.20547840663136,20.66856907571369,0,28,28,1.653090572499908
76,perfect_channel,10,6,1.9688844301390883e-13,17.626471729516275,20.66856907571369,0,28,0,1.0,17.711686863267136,20.66856907571369,0,28,0,1.0
76,no_ic,10,6,1.9688844301390883e-13,17.7007424511669,20.66856907571369,0,28,14,4.413770679613908,17.8737416332116,20.66856907571369,0,28,14,4.413770679613908
76,tp_uic_stage1,10,6,1.9688844301390883e-13,17.051699214554752,20.66856907571369,0,28,28,1.0061672735036458,15.205161148195405,20.66856907571369,0,28,28,1.0061672735036458
77,perfect_channel,10,7,2.8477892035497505e-13,11.672426096669945,20.66856907571369,0,28,0,1.0,13.551429347270222,20.66856907571369,0,28,0,1.0
77,no_ic,10,7,2.8477892035497505e-13,13.059750401602294,20.66856907571369,0,28,14,121.82012860667675,15.125551703619347,20.66856907571369,0,28,14,121.82012860667675
77,tp_uic_stage1,10,7,2.8477892035497505e-13,13.513703602087585,20.66856907571369,0,28,28,1.9704432932352207,13.987651084428201,20.66856907571369,0,28,28,1.9704432932352207
78,perfect_channel,11,2,3.356532745263412e-13,13.78884573374317,20.66856907571369,0,28,0,1.0,22.39973260465274,20.66856907571369,1,28,0,1.0
78,no_ic,11,2,3.356532745263412e-13,13.010227830288397,20.66856907571369,0,28,14,37.330401169574095,19.24718791542031,20.66856907571369,0,28,14,37.330401169574095
78,tp_uic_stage1,11,2,3.356532745263412e-13,19.310431754746425,20.66856907571369,0,28,28,1.171996632229614,21.14942928051239,20.66856907571369,1,28,28,1.171996632229614
79,perfect_channel,5,4,1.697237792766793e-13,6.834004742507871,20.66856907571369,0,28,0,1.0,16.241002819688642,20.66856907571369,0,28,0,1.0
79,no_ic,5,4,1.697237792766793e-13,5.6458450132449745,20.66856907571369,0,28,14,53.245469447151514,17.74358192175704,20.66856907571369,0,28,14,53.245469447151514
79,tp_uic_stage1,5,4,1.697237792766793e-13,8.51012531886473,20.66856907571369,0,28,28,1.1950671525184742,17.544823656079892,20.66856907571369,0,28,28,1.1950671525184742
80,perfect_channel,6,7,4.277669806932921e-13,13.253941808799093,20.66856907571369,0,28,0,1.0,9.224716911089036,20.66856907571369,0,28,0,1.0
80,no_ic,6,7,4.277669806932921e-13,14.013576274148228,20.66856907571369,0,28,14,7.1225979167080204,11.061345675806606,20.66856907571369,0,28,14,7.1225979167080204
80,tp_uic_stage1,6,7,4.277669806932921e-13,10.978999758284347,20.66856907571369,0,28,28,1.4218004012771155,14.036505238969873,20.66856907571369,0,28,28,1.4218004012771155
81,perfect_channel,9,0,2.697433602329996e-13,17.770352669212237,20.66856907571369,0,28,0,1.0,12.812984796491417,20.66856907571369,0,28,0,1.0
81,no_ic,9,0,2.697433602329996e-13,12.872601096833577,20.66856907571369,0,28,14,38.09215785854311,12.573246653892781,20.66856907571369,0,28,14,38.09215785854311
81,tp_uic_stage1,9,0,2.697433602329996e-13,14.118452224315988,20.66856907571369,0,28,28,1.9058430748139477,13.439905462467944,20.66856907571369,0,28,28,1.9058430748139477
