condition,trial,seed,pd_before,pd_after,pfa_before,pfa_after,reports_before,reports_after,report_lower_bound,already_at_count_bound,changed_targets,candidate_pd_evaluations,min_predicted_pd_change,fine_evaluations_before,fine_evaluations_after
nominal,86,2026,1.0,1.0,0.03,0.03,1,1,1,1,0,0,0.0,58.0,58.0
nominal,87,2026,1.0,1.0,0.06333333333333334,0.06333333333333334,0,0,0,1,0,0,0.0,55.0,55.0
nominal,88,2026,0.9,0.9,0.05333333333333334,0.05333333333333334,0,0,0,1,0,0,0.0,59.0,59.0
nominal,89,2026,1.0,1.0,0.03333333333333333,0.03333333333333333,1,1,1,1,0,0,0.0,64.0,64.0
nominal,90,2026,1.0,1.0,0.07,0.07,0,0,0,1,0,0,0.0,57.0,57.0
nominal,91,2026,0.8,0.8,0.03666666666666667,0.03666666666666667,8,8,8,1,0,0,0.0,110.0,110.0
nominal,92,2026,1.0,1.0,0.06,0.06,0,0,0,1,0,0,0.0,59.0,59.0
nominal,93,2026,1.0,1.0,0.05,0.05,0,0,0,1,0,0,0.0,55.0,55.0
nominal,94,2026,1.0,1.0,0.03,0.03,1,1,1,1,0,0,0.0,57.0,57.0
nominal,95,2026,0.8,0.8,0.03,0.03,0,0,0,1,0,0,0.0,56.0,56.0
nominal,96,2026,1.0,1.0,0.056666666666666664,0.056666666666666664,0,0,0,1,0,0,0.0,55.0,55.0
nominal,97,2026,1.0,1.0,0.05,0.05,0,0,0,1,0,0,0.0,61.0,61.0
nominal,98,2026,1.0,1.0,0.04,0.04,2,2,2,1,0,0,0.0,60.0,60.0
nominal,99,2026,1.0,1.0,0.06,0.06,0,0,0,1,0,0,0.0,85.0,85.0
no_price,0,2026,1.0,1.0,0.05333333333333334,0.05333333333333334,4,0,0,0,4,4,0.0,56.0,56.0
no_price,1,2026,1.0,1.0,0.04666666666666667,0.04666666666666667,5,0,0,0,5,5,0.0,56.0,56.0
no_price,2,2026,1.0,1.0,0.06,0.06,2,0,0,0,2,2,0.0,59.0,59.0
no_price,3,2026,1.0,1.0,0.03666666666666667,0.03666666666666667,6,3,3,0,3,3,0.0,60.0,60.0
no_price,4,2026,0.9,1.0,0.04666666666666667,0.05,5,0,0,0,5,5,0.0,55.0,55.0
no_price,5,2026,0.9,0.9,0.04,0.04,3,0,0,0,3,3,0.0,55.0,55.0
no_price,6,2026,1.0,1.0,0.043333333333333335,0.043333333333333335,2,1,1,0,1,1,0.0,57.0,57.0
no_price,7,2026,1.0,1.0,0.04666666666666667,0.04666666666666667,3,0,0,0,3,3,0.0,56.0,56.0
no_price,8,2026,1.0,1.0,0.07333333333333333,0.07333333333333333,5,1,1,0,4,4,0.0,63.0,63.0
no_price,9,2026,0.9,0.9,0.05333333333333334,0.05333333333333334,5,0,0,0,5,5,0.0,55.0,55.0
no_price,10,2026,1.0,1.0,0.043333333333333335,0.043333333333333335,6,1,1,0,5,5,0.0,60.0,60.0
no_price,11,2026,1.0,1.0,0.05,0.05,4,0,0,0,4,4,0.0,55.0,55.0
