receiver,illuminator,target,rho,trial,m_rx,axis
1,3,3,0.838463349223983,0,8,0
1,3,4,0.015013481132992834,0,8,0
1,3,5,0.9638558336651466,0,8,0
1,3,6,0.498885403213839,0,8,0
1,3,7,0.9581889401588656,0,8,0
1,3,8,0.7395067803694805,0,8,0
1,3,9,0.003735671761144199,0,8,0
1,4,0,0.8502057731921654,0,8,0
1,4,1,0.4430133892954844,0,8,0
1,4,2,0.48052517905857184,0,8,0
1,4,3,0.9880543302957915,0,8,0
1,4,4,0.19732218362613607,0,8,0
1,4,5,0.9765792717285309,0,8,0
1,4,6,0.06290762495744873,0,8,0
1,4,7,0.9880489910408495,0,8,0
1,4,8,0.8223785101284453,0,8,0
1,4,9,0.055975885124287306,0,8,0
1,5,0,0.9823749801931329,0,8,0
1,5,1,0.5584513110756293,0,8,0
1,5,2,0.9509043000530152,0,8,0
1,5,3,0.838992394614071,0,8,0
1,5,4,0.3617402543141638,0,8,0
1,5,5,0.8587184747028253,0,8,0
1,5,6,0.09219231981639886,0,8,0
1,5,7,0.9929328051854518,0,8,0
1,5,8,0.7376976239710223,0,8,0
1,5,9,0.10884302037632865,0,8,0
1,6,0,0.9493703446048287,0,8,0
1,6,1,0.4454451389979668,0,8,0
1,6,2,0.7467531042608488,0,8,0
1,6,3,0.8666262026133601,0,8,0
1,6,4,0.003005121345510786,0,8,0
1,6,5,0.9443581192491401,0,8,0
1,6,6,0.7783008528548158,0,8,0
1,6,7,0.9494716176288176,0,8,0
1,6,8,0.8224138910120352,0,8,0
1,6,9,0.37859799542223027,0,8,0
1,7,0,0.9922211258543919,0,8,0
1,7,1,0.9413792732975355,0,8,0
1,7,2,0.9423185982790637,0,8,0
1,7,3,0.8552081882336903,0,8,0
1,7,4,0.24554883128284488,0,8,0
1,7,5,0.9965418015035987,0,8,0
1,7,6,0.26822614535667966,0,8,0
1,7,7,0.9860821806658507,0,8,0
1,7,8,0.020353843170003882,0,8,0
1,7,9,0.17578612488812628,0,8,0
1,8,0,0.9476087977814167,0,8,0
1,8,1,0.3884534970604343,0,8,0
1,8,2,0.707911663855013,0,8,0
1,8,3,0.9808327103448093,0,8,0
1,8,4,0.1711305367821533,0,8,0
1,8,5,0.9786176066466953,0,8,0
1,8,6,0.0520043206119164,0,8,0
1,8,7,0.9909047541762521,0,8,0
1,8,8,0.7618043657836429,0,8,0
1,8,9,0.009438336050006657,0,8,0
1,9,0,0.9867725740998192,0,8,0
1,9,1,0.9557542233157286,0,8,0
1,9,2,0.9580518347776382,0,8,0
1,9,3,0.9880988104854503,0,8,0
1,9,4,0.9502128768279775,0,8,0
1,9,5,0.9650292287161139,0,8,0
1,9,6,0.11824479262447174,0,8,0
1,9,7,0.9996272774507227,0,8,0
1,9,8,0.7606787675942068,0,8,0
1,9,9,0.7869552674757023,0,8,0
1,10,0,0.9663429013597804,0,8,0
1,10,1,0.9615505579882931,0,8,0
1,10,2,0.9240337221038695,0,8,0
1,10,3,0.9729600376647305,0,8,0
1,10,4,0.31262344144689846,0,8,0
1,10,5,0.9294108431150278,0,8,0
1,10,6,0.06363847340600115,0,8,0
1,10,7,0.9984313337245987,0,8,0
1,10,8,0.7664842307759779,0,8,0
1,10,9,0.046259285539140715,0,8,0
1,11,0,0.9834347532311307,0,8,0
1,11,1,0.33526197294293114,0,8,0
1,11,2,0.9680718084978877,0,8,0
1,11,3,0.8799497192992907,0,8,0
1,11,4,0.7759604914972318,0,8,0
1,11,5,0.9653336755909735,0,8,0
1,11,6,0.11322157206830319,0,8,0
1,11,7,0.9860074323981156,0,8,0
1,11,8,0.06643065004707349,0,8,0
1,11,9,0.9879014712786248,0,8,0
1,12,0,0.9989634122512171,0,8,0
1,12,1,0.98433829529324,0,8,0
1,12,2,0.983643297582246,0,8,0
1,12,3,0.8400211365434391,0,8,0
1,12,4,0.36330871166191037,0,8,0
1,12,5,0.9937028846061859,0,8,0
1,12,6,0.5273025352409759,0,8,0
1,12,7,0.9995919989383996,0,8,0
1,12,8,0.029267389461876903,0,8,0
1,12,9,0.7874461696225548,0,8,0
1,13,0,0.9968801534068205,0,8,0
1,13,1,0.9029124372591167,0,8,0
1,13,2,0.921434192179359,0,8,0
1,13,3,0.8137556694366546,0,8,0
1,13,4,0.502080107143107,0,8,0
1,13,5,0.9374694496591198,0,8,0
1,13,6,0.5414441047114122,0,8,0
1,13,7,0.9983700644658288,0,8,0
1,13,8,0.7740171124893642,0,8,0
1,13,9,0.9621288021960241,0,8,0
1,14,0,0.9819926913698843,0,8,0
1,14,1,0.3484958657271462,0,8,0
1,14,2,0.8270063843342084,0,8,0
1,14,3,0.9281873765282359,0,8,0
1,14,4,0.004976529976010946,0,8,0
1,14,5,0.96395062429608,0,8,0
1,14,6,0.7284733491674429,0,8,0
1,14,7,0.9703942905280145,0,8,0
1,14,8,0.7765180892458792,0,8,0
1,14,9,0.970989601139169,0,8,0
2,0,0,0.7992357662070375,0,8,0
2,0,1,0.9953967005717121,0,8,0
2,0,2,0.9613665185099756,0,8,0
2,0,3,0.9246051220481564,0,8,0
2,0,4,0.9285020794141601,0,8,0
2,0,5,0.994687563038331,0,8,0
2,0,6,0.15255317579169414,0,8,0
2,0,7,0.9934141259332961,0,8,0
2,0,8,0.49711417745741315,0,8,0
2,0,9,0.4018850834617961,0,8,0
2,1,0,0.9935649145073893,0,8,0
2,1,1,0.9942441512271885,0,8,0
2,1,2,0.31702673386546765,0,8,0
2,1,3,0.2166381785578949,0,8,0
2,1,4,0.9331773495598725,0,8,0
2,1,5,0.9933918790705965,0,8,0
2,1,6,0.9561071328881706,0,8,0
2,1,7,0.9994950315079071,0,8,0
2,1,8,0.9317929219797527,0,8,0
2,1,9,0.17843419449269582,0,8,0
2,3,0,0.6187308468519978,0,8,0
2,3,1,0.9851716453975388,0,8,0
2,3,2,0.9640131487238233,0,8,0
2,3,3,0.49728668294857536,0,8,0
2,3,4,0.9132000471314423,0,8,0
2,3,5,0.987226623357996,0,8,0
2,3,6,0.5449688505895439,0,8,0
2,3,7,0.9268395205294452,0,8,0
2,3,8,0.18349243603714993,0,8,0
2,3,9,0.9057325990930971,0,8,0
2,4,0,0.7227566222152945,0,8,0
2,4,1,0.9905022453892761,0,8,0
2,4,2,0.9939943647358919,0,8,0
2,4,3,0.9891119646435194,0,8,0
2,4,4,0.9668644040091536,0,8,0
2,4,5,0.9964520953195474,0,8,0
2,4,6,0.6826266648850063,0,8,0
2,4,7,0.937058740416702,0,8,0
2,4,8,0.5488429867672688,0,8,0
2,4,9,0.9966322967289445,0,8,0
2,5,0,0.6845131062443774,0,8,0
2,5,1,0.9753257148243664,0,8,0
2,5,2,0.9026782587306956,0,8,0
2,5,3,0.13749234364195728,0,8,0
2,5,4,0.9642357341140991,0,8,0
2,5,5,0.98801807459746,0,8,0
2,5,6,0.13211496180798155,0,8,0
2,5,7,0.9974991974628095,0,8,0
2,5,8,0.6051233202535854,0,8,0
2,5,9,0.2825913884313669,0,8,0
2,6,0,0.9337524091212835,0,8,0
2,6,1,0.9846014863213375,0,8,0
2,6,2,0.9796174842799866,0,8,0
