trial,m_rx,axis,target,n_links,n_receivers,rho_mean,rho_p10,rho_p50,rho_p90,spread_p90_p10,rho_min,rho_max,spread_receiver_level,spearman_rho_sinr,top1,medrank1,headroom1,top2,medrank2,headroom2,top3,medrank3,headroom3,headroom_vs_mean1
0,8,0,3,210,15,0.62768526355776,0.25894536923885647,0.6405190565905343,0.952799343231364,0.6938539739925075,0.00022219571039416852,0.9917586699013372,0.3258022876924268,-0.13040334571888576,0.9917586699013372,0.6404996805690694,0.35125898933226785,0.991275813915752,0.6405190565905343,0.3507567573252177,0.9905545308250078,0.6398907908259601,0.35066373999904765,0.3640734063435772
0,8,0,4,210,15,0.6951282727334517,0.15849244601065537,0.8948807527776118,0.9873637988701159,0.8288713528594606,0.0,1.0,0.7275953429991203,-0.009095768287586696,1.0,0.8933143014598487,0.10668569854015131,0.9989907597240719,0.8948807527776118,0.10411000694646011,0.9982737013026831,0.8943574306132728,0.10391627068941034,0.3048717272665483
0,8,0,5,210,15,0.932845662263123,0.8948206164958787,0.9792717824433568,0.9963986468735753,0.10157803037769653,0.0,1.0,0.06895594222244261,-0.21948084342696467,1.0,0.9792685715709168,0.020731428429083154,1.0,0.9792717824433568,0.020728217556643225,1.0,0.9792368393075419,0.020763160692458094,0.06715433773687696
0,8,0,6,210,15,0.5857368812726679,0.08912052818480999,0.7116136419437484,0.9787476384155365,0.8896271102307265,0.0,0.9990459290151572,0.7526973665290563,-0.11290764610794543,0.9990459290151572,0.7081515051507983,0.29089442386435893,0.9987538859673466,0.7116136419437484,0.28714024402359817,0.9980753772205757,0.7064226213830248,0.2916527558375509,0.41330904774248933
0,8,0,7,210,15,0.8814241299128723,0.5895681395872374,0.9817764124456256,0.9988482892437034,0.409280149656466,0.0,0.9997643436051705,0.182009374482769,-0.24249011153476108,0.9997643436051705,0.9816514129349816,0.01811293067018893,0.9997623183278266,0.9817764124456256,0.017985905882200948,0.9997543159420088,0.9817165841419047,0.01803773180010415,0.11834021369229819
0,8,0,8,210,15,0.5891270202245755,0.23972491262815113,0.5879089749265493,0.9184655584631125,0.6787406458349614,0.020353843170003882,0.9706459918496397,0.3706527515919931,0.0863310797458964,0.9706459918496397,0.5875386335802659,0.3831073582693738,0.9704705989154615,0.5879089749265493,0.38256162398891225,0.9693647595375464,0.5877682417887254,0.381596517748821,0.3815189716250642
0,8,0,9,210,15,0.6898170016524044,0.11548995751302318,0.8739973985164676,0.9966516379799099,0.8811616804668867,0.0,0.9995509365060288,0.44469095671226977,-0.07982234776946676,0.9995509365060288,0.8733517178197856,0.12619921868624318,0.9995068107605367,0.8739973985164676,0.12550941224406909,0.9994537422505618,0.8718224976865998,0.12763124456396202,0.3097339348536243
0,8,1,0,210,15,0.8272729172633324,0.3293664288395614,0.951089368954325,0.9893718249374832,0.6600053960979217,0.0018031601735362113,0.9993467136744003,0.4443595556326516,0.3696896269108791,0.9993467136744003,0.9509711661364189,0.048375547537981456,0.9993345046667752,0.951089368954325,0.04824513571245015,0.9993056388180408,0.9509516113483966,0.048354027469644234,0.1720737964110679
0,8,1,1,210,15,0.9314535714148386,0.8288384249927526,0.9755487684756999,0.9969109718918604,0.16807254689910778,0.16924543532040426,0.9994985036624255,0.0964158110739991,-0.25864985600580515,0.9994985036624255,0.9753937915367031,0.024104712125722405,0.9994827322739233,0.9755487684756999,0.023933963798223323,0.9994421467688493,0.9753231224264557,0.024119024342393658,0.0680449322475869
0,8,1,2,210,15,0.7934827849523283,0.3013724967597772,0.9315522780635632,0.987846442428982,0.6864739456692048,0.008726410143327534,0.9987997170271194,0.3830476479482121,0.13518479524964933,0.9987997170271194,0.9314541322325173,0.06734558479460218,0.9982949305698084,0.9315522780635632,0.06674265250624523,0.9979651372145925,0.9314450246761751,0.06652011253841739,0.20531693207479118
0,8,1,3,210,15,0.9630059649546113,0.9265058495775519,0.9745058475074388,0.9950477208063726,0.06854187122882072,0.4289466739079727,0.9992906714055373,0.030706780411896673,-0.3305050649026703,0.9992906714055373,0.974445925388769,0.024844746016768338,0.9992473698644782,0.9745058475074388,0.024741522357039303,0.9992320807725356,0.9744481844838678,0.02478389628866773,0.03628470645092596
0,8,1,4,210,15,0.6432429460690087,0.16841088827692188,0.7625930385143318,0.9676688434548647,0.7992579551779428,0.003687659540430377,0.9883142606331499,0.7048295616557143,0.22015335624714522,0.9883142606331499,0.7612028384453288,0.2271114221878211,0.9875679944874809,0.7625930385143318,0.2249749559731491,0.9866419364338664,0.7598225194162459,0.22681941701762054,0.3450713145641412
0,8,1,5,210,15,0.7846277990739939,0.3527901561185452,0.9022064910280834,0.9812490880141173,0.628458931895572,0.061746393804442246,0.9972478695212728,0.3345881980576957,-0.16622016048306895,0.9972478695212728,0.9005764057427306,0.09667146377854219,0.997062035871592,0.9022064910280834,0.09485554484350867,0.9968724925720607,0.901633607663387,0.09523888490867372,0.21262007044727882
0,8,1,6,210,15,0.7874967559055618,0.27230320164427424,0.9314925724758383,0.9815067381780964,0.7092035365338222,0.0905353329895,0.999121190309097,0.4895840806579109,-0.2935077892922742,0.999121190309097,0.9314323506183811,0.06768883969071582,0.9982625163775478,0.9314925724758383,0.06676994390170954,0.9979065524657468,0.9305096382948786,0.06739691417086813,0.21162443440353518
0,8,1,7,210,15,0.9320112473695693,0.8431291237323457,0.9779772223913785,0.9983277291048253,0.15519860537247954,0.07841005877752161,0.9996496076226169,0.038682173572628153,-0.008583932904212275,0.9996496076226169,0.977930710581739,0.021718897040877927,0.9995958397096572,0.9779772223913785,0.021618617318278632,0.9995759453257579,0.9779533073371818,0.02162263798857611,0.06763836025304759
0,8,1,8,210,15,0.8847665221104524,0.7186226564300091,0.9394174360548048,0.9855970766805509,0.26697442025054174,0.18308352464447242,0.9972310339807114,0.09788972441831167,-0.28332420884179427,0.9972310339807114,0.9394107146262893,0.05782031935442211,0.997199748600829,0.9394174360548048,0.057782312546024284,0.9968179402482699,0.9393750109439779,0.057442929304291956,0.11246451187025908
