rcs_m2,trial,method,pd,pfa,reports,observations,seconds,objective,rho_vector,table_builds,fine_entry_updates,unique_refined_entries,full_entries,coarse_power_checks,fine_power_checks
0.1,3,integrated_c2f,0.8,0.06,8,45,34.93437390006147,6.030555794279185,"[0.95, 0.2, 0.8, 0.2, 0.95, 0.2, 0.2, 0.95, 0.5, 0.95, 0.2, 0.2, 0.5, 0.2, 0.2]",94,7367,457,2100,90,60
0.1,3,cached_serial,0.9,0.05,8,45,18.78263509995304,5.982681460310707,"[0.95, 0.2, 0.8, 0.2, 0.8, 0.2, 0.2, 0.95, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.2]",94,198231,2100,2100,0,0
0.1,6,cached_serial,0.5,0.05,8,40,22.499143699998967,-1.2944062439804134,"[0.2, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2]",94,198291,2100,2100,0,0
0.1,6,integrated_c2f,0.6,0.06333333333333334,8,39,35.09161330002826,-1.3705385055733237,"[0.2, 0.95, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.95, 0.95, 0.5, 0.95, 0.2, 0.2, 0.2]",94,6896,495,2100,90,60
0.1,5,integrated_c2f,0.6,0.05,8,53,44.846284799976274,0.16649368632820447,"[0.5, 0.2, 0.2, 0.95, 0.5, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2]",94,8189,480,2100,90,59
0.1,5,cached_serial,0.7,0.056666666666666664,8,53,25.55113630008418,0.26324524115293196,"[0.2, 0.2, 0.2, 0.95, 0.5, 0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.8, 0.2, 0.2, 0.2]",94,198458,2100,2100,0,0
0.1,7,integrated_c2f,0.6,0.03333333333333333,8,40,32.90388120000716,-0.4349324198316083,"[0.2, 0.2, 0.95, 0.95, 0.5, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2]",91,6645,487,2100,90,59
0.1,7,cached_serial,0.6,0.043333333333333335,8,42,19.11744339996949,-0.37629581728492817,"[0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2]",94,198127,2100,2100,0,0
0.1,9,integrated_c2f,0.9,0.04,8,43,32.832512599998154,-0.6255753664447248,"[0.95, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2]",94,7334,508,2100,90,57
0.1,9,cached_serial,0.9,0.03666666666666667,8,44,19.01331529999152,-0.6428328823492919,"[0.95, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2]",94,198346,2100,2100,0,0
0.1,10,cached_serial,0.4,0.06666666666666667,8,46,21.91914320003707,-2.376404583826704,"[0.95, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2]",91,198376,2100,2100,0,0
0.1,10,integrated_c2f,0.5,0.04666666666666667,8,45,34.8134013999952,-2.5029228157290753,"[0.95, 0.8, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95]",94,7106,501,2100,90,48
0.1,8,cached_serial,0.5,0.04666666666666667,8,54,25.37210989999585,-1.9117903716707836,"[0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.8, 0.2, 0.8, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95]",94,198412,2100,2100,0,0
0.1,8,integrated_c2f,0.5,0.06333333333333334,8,53,48.1543890000321,-1.816411315222888,"[0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.8, 0.2, 0.95, 0.2, 0.2, 0.5, 0.2, 0.2, 0.2]",94,8466,494,2100,90,59
0.1,11,integrated_c2f,0.9,0.03333333333333333,2,30,28.183371299994178,0.9043688799741681,"[0.2, 0.95, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.95, 0.2, 0.2, 0.2, 0.5, 0.2, 0.2]",94,6026,395,2100,90,60
0.1,11,cached_serial,0.9,0.03,2,31,18.93936190009117,0.9065668172516005,"[0.2, 0.95, 0.95, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.5, 0.2, 0.2]",94,198091,2100,2100,0,0
0.1,13,integrated_c2f,0.6,0.02,8,27,26.53825440001674,1.5185208475449403,"[0.2, 0.5, 0.2, 0.95, 0.2, 0.8, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2]",94,5720,408,2100,90,59
0.1,13,cached_serial,0.7,0.016666666666666666,7,28,14.23296890000347,1.6029984506347068,"[0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2]",94,198058,2100,2100,0,0
0.1,12,cached_serial,0.4,0.06333333333333334,8,31,16.330164800048806,0.4535275428533317,"[0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.5, 0.95]",91,198150,2100,2100,0,0
0.1,12,integrated_c2f,0.5,0.056666666666666664,8,35,29.559455100097694,0.4956997670573828,"[0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.8, 0.2]",94,6647,401,2100,90,59
0.1,14,cached_serial,0.8,0.06666666666666667,8,37,17.800506900064647,1.7709451169556691,"[0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95]",94,198195,2100,2100,0,0
0.1,14,integrated_c2f,0.8,0.06666666666666667,8,38,30.899446700001135,1.9849005913810476,"[0.95, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,6616,456,2100,90,58
0.1,17,integrated_c2f,0.7,0.043333333333333335,8,26,21.143866200000048,1.430266807396597,"[0.95, 0.2, 0.2, 0.95, 0.2, 0.95, 0.8, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,5588,414,2100,90,60
0.1,17,cached_serial,0.6,0.05,8,26,12.518989200005308,1.2907294229241757,"[0.95, 0.2, 0.2, 0.95, 0.2, 0.95, 0.8, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2]",94,197924,2100,2100,0,0
0.1,15,integrated_c2f,0.5,0.04,8,39,29.26639270002488,0.8596198138105133,"[0.95, 0.2, 0.2, 0.5, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,6529,434,2100,90,60
0.1,15,cached_serial,0.5,0.04666666666666667,8,34,17.331271299975924,0.8042876400201272,"[0.95, 0.2, 0.2, 0.5, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",94,198132,2100,2100,0,0
0.1,16,cached_serial,0.9,0.06,8,46,20.544413800002076,0.2700660751896106,"[0.2, 0.8, 0.8, 0.2, 0.2, 0.2, 0.95, 0.5, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2]",94,198244,2100,2100,0,0
0.1,16,integrated_c2f,0.8,0.05333333333333334,8,46,41.441571600036696,0.30224668418811995,"[0.2, 0.8, 0.95, 0.2, 0.2, 0.2, 0.95, 0.5, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2]",94,7511,488,2100,90,60
0.1,18,cached_serial,0.7,0.056666666666666664,8,49,20.52006559993606,-0.3159138180121353,"[0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2]",94,198264,2100,2100,0,0
0.1,18,integrated_c2f,0.8,0.03666666666666667,8,50,37.17036750004627,-0.11925391753947759,"[0.95, 0.95, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.2, 0.95, 0.95]",91,7783,491,2100,90,60
0.1,21,integrated_c2f,0.7,0.04,4,25,22.277273099985905,4.652260665075723,"[0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95, 0.2, 0.2, 0.2, 0.95, 0.2, 0.2, 0.95]",94,5487,420,2100,90,59
