split,scene_id,error_radius_m,error_angle_rad,true_delta_x_m,true_delta_y_m,nominal_h1,wls_map_h1,local_crossfit_h1,shared_crossfit_h1,oracle_h1,estimated_delta_a_x,estimated_delta_a_y,estimated_delta_b_x,estimated_delta_b_y,state_error_a_m,state_error_b_m,objective_a,objective_b,state_gate_accepted_a,state_gate_accepted_b,raw_delta_a_x,raw_delta_a_y,raw_delta_b_x,raw_delta_b_y,wls_state_error_a_m,wls_state_error_b_m,nominal_h0,wls_map_h0,local_crossfit_h0,shared_crossfit_h0,oracle_h0,runtime_s,minimum_uav_separation_m
train,12,150.0,0.14767599154953198,-148.36735543851918,-22.070972796415532,92.66575591280582,91.12452565147635,413.56908660609975,423.2545730352453,425.23254595241576,-150.0,-18.75,-150.0,-18.75,3.7005930036502104,3.7005930036502104,203.9544015934561,213.76452761963,True,True,-150.0,-18.75,-150.0,-18.75,150.56084549931563,153.32536575637,82.39760609265959,84.43368897262333,77.9895839955337,82.39760609265959,99.81908777361804,518.1216546001378,86.4291022921228
train,13,150.0,1.6724835679360497,15.226812856737297,-149.22514590452207,371.160716351823,368.0663329918344,1336.0859345626855,1388.5733949782639,1412.0826988190456,18.75,-159.375,18.75,-159.375,10.743946472592919,10.743946472592919,837.6173306363246,554.4448601124185,True,True,18.75,-159.375,18.75,-159.375,147.11522801088054,143.59588374028982,76.23472083160445,73.18465163861353,70.85280528663074,76.23472083160445,74.64945930430406,517.7084812999237,137.43591396018456
train,14,150.0,2.143024080563261,81.2259384280163,-126.10450795466471,90.54772104973614,89.25121076253288,120.23541003146701,90.54772104973614,156.43357874355885,0.0,0.0,0.0,0.0,149.99999999999997,149.99999999999997,85.48360431236283,56.70573959463505,False,False,84.375,-131.25,-75.0,-450.0,145.36896604814058,150.16625816525305,88.95177888621853,87.94794577204013,98.57910982430252,88.95177888621853,68.1839453494287,515.593195399968,105.99054795031059
train,15,150.0,3.1054299523081235,149.90193011590023,-5.423222983408401,95.35662083519688,100.33699536511435,558.8349439988424,563.7779821764377,565.2212826082678,150.0,0.0,150.0,-9.375,5.4241096255456025,3.9529937124954984,230.4892438794442,305.3922655265547,True,True,150.0,0.0,150.0,-9.375,141.05704879592304,151.49520489114786,74.25973603177759,77.27396585455634,77.3151313624051,74.25973603177759,81.25168258918174,518.1814010001253,60.40751659342287
train,8,250.0,0.5424921441191919,-214.1061795456249,-129.0679816235484,68.84458327597196,73.36373999753671,74.95265730729685,68.84458327597196,96.91775569371467,0.0,0.0,0.0,0.0,250.0,250.0,47.99173906698353,41.35179512902042,False,False,-187.5,-206.25,-75.0,-215.625,235.37257896247814,209.46766613858384,62.16816919668963,58.3511466694808,80.78985982388775,62.16816919668963,70.80615219977956,516.2397664000746,112.37699855179721
train,9,250.0,4.294526694678744,101.45189989267664,228.48963216777761,96.62175447790995,98.59094461631854,3650.3603366518164,3640.278703445343,3706.202038940276,103.125,225.0,103.125,215.625,3.8699866453921703,12.972972858267454,1797.7256533520733,1764.9617395993503,True,True,103.125,225.0,103.125,215.625,252.6833212635702,250.95850004733632,85.05675177476655,82.93997255317863,90.12790773185424,85.05675177476655,69.66213543036864,516.8229547999799,70.67850737418478
train,10,250.0,2.4824879909892297,197.6352153078691,-153.10232418292097,83.82996158500482,83.58810909071386,693.0612324916693,696.1657468297028,703.1568057730375,196.875,-159.375,196.875,-150.0,6.318574935892318,3.1941106196020725,331.2962128463821,354.04847468515396,True,True,196.875,-159.375,196.875,-150.0,251.39784887058633,255.71942635771362,79.2229856286672,78.5380793555084,90.15795700508076,79.2229856286672,70.02460837720389,518.689590399852,76.75046244986429
train,11,250.0,3.925659368165558,177.01190765880133,176.5411695525777,69.14786470531425,67.41103188984742,643.8392157824981,650.5971605931126,654.3196977106417,178.125,178.125,178.125,168.75,1.9358443755160195,7.870279382401182,336.2294230587924,306.6554969461893,True,True,178.125,178.125,178.125,168.75,245.87623282319737,240.3116417298899,89.81091259657984,89.98062443115114,88.25089325272359,89.81091259657984,75.89319096638704,514.1565765000414,95.56139436068753
train,12,250.0,0.14767599154953198,-247.27892573086527,-36.784954660692534,82.18652098099153,83.74402793943878,402.6516852229965,420.3123292851943,425.23254595241576,-253.125,-37.5,-243.75,-37.5,5.889641262208126,3.600639755825108,203.04777779545327,212.52286459234392,True,True,-253.125,-37.5,-243.75,-37.5,269.09059723167167,250.22171063963296,80.971963664756,81.54055735914424,77.74988089113646,80.971963664756,99.81908777361804,515.1564318998717,86.4291022921228
train,13,250.0,1.6724835679360497,25.378021427895533,-248.70857650753678,155.89389110332678,155.58208349975445,1329.614670768473,1396.7767984262164,1412.0826988190456,18.75,-234.375,18.75,-234.375,15.791835977683295,15.791835977683295,793.3023735485399,530.3178342228864,True,True,18.75,-234.375,18.75,-234.375,253.98036449018585,246.51015650521055,84.10701819635793,85.82855223162048,75.98833514397232,84.10701819635793,74.64945930430406,514.8256520000286,137.43591396018456
train,14,250.0,2.143024080563261,135.37656404669386,-210.17417992444126,69.2692007469916,68.88559513952029,127.86838391885965,153.54281247487785,156.43357874355885,131.25,-215.625,112.5,-215.625,6.836663683960222,23.516985820436265,84.5430995039641,58.448314912908884,True,True,131.25,-215.625,112.5,-215.625,237.4355640261051,237.33997834415703,81.93150482350785,80.15872746407905,84.82695294663387,81.93150482350785,68.1839453494287,515.9622903000563,105.99054795031059
train,15,250.0,3.1054299523081235,249.836550193167,-9.038704972347333,98.45982826895313,98.71224825696933,530.5847774567163,562.9149437087345,565.2212826082402,243.75,0.0,243.75,-9.375,10.896984942224964,6.095833626302899,228.88415724931804,305.40899427254806,True,True,243.75,0.0,243.75,-9.375,246.58446294524836,213.70051209600408,77.22638893425149,76.35744322949648,80.85480710910097,77.22638893425149,81.25168258918626,516.6064143001568,60.40751659342287
