split,scene_id,receiver,target,realisation,direct_gain_boost_db,arm,conflict_index,direct_inr_db,stat_h0,stat_h1,dof_real,identifiable_fraction,kappa_accounted_db,kappa_structural_db,i_in,i_res,i_res_structural,i_res_estimate,eta_survive_q,eta_survive_field,eta_survive_pred_q,eta_survive_risk_q,eta_protect,protect_dim,n_coefficients,calibration_error_db
calibration,0,0,0,6,0.0,ridge_ls,0.0015851073302890451,2.1834667137622024,7.5753907268863365,10.961779484057757,10,0.9988432330833762,16.18298946688251,16.214525458732428,1.0376904965727067e-09,2.4990151712391737e-11,2.4809344716417444e-11,1.808069959742924e-13,0.9998897459856597,0.9983447776450208,0.999956138429026,0.9997328240560945,0.9022068609412932,0,5,21.159114412034434
calibration,0,0,0,6,0.0,protected_ls,0.0015851073302890451,2.1834667137622024,7.779780194421072,11.274587495151923,10,0.9987593002050672,14.397095173585416,14.41626084438003,1.0376904965727067e-09,3.770147330857328e-11,3.753546107081757e-11,1.660122377557023e-13,0.9999487662925008,0.9999508296966532,1.0,0.9997386291510664,0.9022068609412932,45,5,4.834504679675959
calibration,0,0,0,6,0.0,tp_uic_stage1,0.0015851073302890451,2.1834667137622024,7.779755770850387,11.274537598692607,10,0.9987593342186973,14.397108489786056,14.416240187608608,1.0376904965727067e-09,3.7701357709680296e-11,3.7535639604811416e-11,1.6571810486887964e-13,0.9999487664921688,0.9999508298606034,1.0,0.9997386295751935,0.9022068609412932,45,5,4.834491363475318
calibration,0,0,0,6,0.0,tp_uic_full,0.0015851073302890451,2.1834667137622024,7.575955022717809,10.96140176591946,10,0.9988425869969589,16.18421688399989,16.214508446794685,1.0376904965727067e-09,2.4983089912814557e-11,2.480944189836931e-11,1.7364801444524646e-13,0.9998985223728318,0.9987855588741872,0.9999901698685583,0.9997391003313338,0.9022068609412932,45,5,21.145577945863376
calibration,0,0,0,6,0.0,perfect_channel,0.0015851073302890451,2.1834667137622024,7.308027456326279,10.310298921489302,10,0.9988430977670611,inf,inf,1.0376904965727067e-09,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9022068609412932,0,5,nan
calibration,0,0,0,7,0.0,no_ic,0.0014475561497371467,2.3566281428481157,8.9154718581733,5.071813527873447,10,0.9988434881145373,0.0,0.0,1.0799010968502004e-09,1.0799010968502004e-09,1.0799010968502004e-09,0.0,1.0,1.0,1.0,1.0,0.9071060858139118,0,5,0.0
calibration,0,0,0,7,0.0,plain_ls,0.0014475561497371467,2.3566281428481157,8.915735160122154,5.071270591719553,10,0.998843506355471,14.631044911411315,14.642755108277736,1.0799010968502004e-09,3.717744083426312e-11,3.7077331632642305e-11,1.001092016208089e-13,0.9999530455109538,0.9986078262631938,0.9999749902659315,0.9998118718885634,0.9071060858139118,0,5,22.884238471494257
calibration,0,0,0,7,0.0,ridge_ls,0.0014475561497371467,2.3566281428481157,8.915724316245141,5.071282702187456,10,0.9988435060173069,14.631049901172645,14.642736752542266,1.0799010968502004e-09,3.717739811982446e-11,3.707748834269917e-11,9.990977712528711e-14,0.9999530456340355,0.9986078300791635,0.9999749903042697,0.9998118721833127,0.9071060858139118,0,5,22.884233481732924
calibration,0,0,0,7,0.0,protected_ls,0.0014475561497371467,2.3566281428481157,9.206830012135203,5.235232775218662,10,0.9986987562688027,13.30645923017313,13.313683111539698,1.0799010968502004e-09,5.04357007504989e-11,5.0351877748737146e-11,8.3823001761751e-14,0.99995272767534,0.9999369773583974,1.0,0.9998260756829809,0.9071060858139118,45,5,6.246232589762601
calibration,0,0,0,7,0.0,tp_uic_stage1,0.0014475561497371467,2.3566281428481157,9.206792918259689,5.235206847126746,10,0.9986988075919407,13.30645968989951,13.313669362170979,1.0799010968502004e-09,5.0435695411582137e-11,5.035203715845974e-11,8.365825312239577e-14,0.9999527278331511,0.9999369774245396,1.0,0.9998260759900146,0.9071060858139118,45,5,6.246232130036221
