scene,realisation,receiver,target,boost_db,arm,conflict_index,direct_inr_db,kappa_db,eta_survive_q,model_rank,cov_rank,cov_trace_over_noise,cov_max_eig_over_noise,transfer_energy,ncp_unit,identifiable_fraction,statistic,residual_power,whitened_residual_power
2,0,0,1,30.0,no_ic,0.011701796165200179,26.388528125180134,0.0,1.0,0,45,474.86872177725166,2869981.0177498,1.3179040538181481,1.2692304466049238,0.9630674121744977,10.742309591042428,2.7395126147719603e-07,19022.28675041066
2,0,0,1,30.0,plain_ls,0.011701796165200179,26.388528125180134,15.04817087385649,0.9996017949976997,5,46,25.81121906487868,86599.68849270014,1.317907858173226,1.2692422911230181,0.9630736194883427,10.741171916337617,9.198547160129284e-09,19017.3983307588
2,0,0,1,30.0,protected_ls,0.011701796165200179,26.388528125180134,14.472824740798274,0.9999910551672324,5,50,33.03783904220388,123292.75373488196,1.309689590322434,1.2563628173808978,0.9592828916595363,11.425948977452617,1.0404161370546315e-08,18971.995359548975
2,0,0,1,30.0,tp_uic_full,0.011701796165200179,26.388528125180134,15.048130975505083,1.000541882569644,50,45,25.81218265293976,86602.46095996843,1.3183436496609642,1.2699060885559157,0.9632587746620503,10.748045135690772,9.198622074780461e-09,19017.413607432194
2,0,0,1,30.0,perfect_channel,0.011701796165200179,26.388528125180134,inf,1.0,0,30,1.0000812321903016,1.6452570489264562,1.330959565055677,1.2887954332006755,0.9683205012668904,6.805124345053402,6.193824301645047e-10,16167.246686463057
2,1,0,1,30.0,no_ic,0.00785268564245393,25.686094088880935,0.0,1.0,0,45,474.8683982643656,2880175.4694949742,1.3214311350817634,1.2741633595416768,0.9642298608794609,3.2749347801243442,2.329432201932946e-07,19709.59406285948
2,1,0,1,30.0,plain_ls,0.00785268564245393,25.686094088880935,14.527752366308,0.9995417062051767,5,47,25.926257721555142,87503.56776414138,1.3214340433914447,1.2741736478818235,0.9642355244698192,3.274764616391734,8.831615726227691e-09,19704.30251470497
2,1,0,1,30.0,protected_ls,0.00785268564245393,25.686094088880935,12.691297093892267,0.9999913705874861,5,50,32.855192952724806,120859.02289484788,1.2933254682300126,1.2215784693754925,0.9445251789924853,3.7313097191607496,1.3134869054459452e-08,19696.196097859603
2,1,0,1,30.0,tp_uic_full,0.00785268564245393,25.686094088880935,14.527710477394685,1.0002362575343584,50,45,25.927110676106114,87509.45931887277,1.321732856078221,1.274632812114743,0.9643649291557819,3.275753510613045,8.831694522841164e-09,19704.31077481677
2,1,0,1,30.0,perfect_channel,0.00785268564245393,25.686094088880935,inf,1.0,0,30,1.0000812321903016,1.6452570489264562,1.330959565055677,1.2887954332006755,0.9683205012668904,3.8268597221951657,6.254509595323233e-10,16325.494297138219
3,0,0,1,30.0,no_ic,0.36452375549139937,27.544463728654378,0.0,1.0,0,45,708.1312507242446,5223874.4910845375,0.7509201553372424,0.7266097819723232,0.9676258877962847,74.56188123992209,3.572231485361432e-07,18491.838835332892
3,0,0,1,30.0,plain_ls,0.36452375549139937,27.544463728654378,16.37503501160608,0.9946091786274363,5,47,39.65623996936394,158157.0455937657,0.7509302155491503,0.7266088665016657,0.9676117053970207,74.55411929023842,8.810510710089426e-09,18487.612118099445
3,0,0,1,30.0,protected_ls,0.36452375549139937,27.544463728654378,8.281992260411592,0.9990961692324272,5,50,156.0730225477943,1094780.2784203235,0.7147921842968792,0.6872400335084781,0.9614543200195965,51.060066456473024,5.35373926488581e-08,17765.986765161473
3,0,0,1,30.0,tp_uic_full,0.36452375549139937,27.544463728654378,16.02041748333021,1.0000736998139435,50,45,41.163524492360956,162587.7447644319,0.7525759271679626,0.7276730372192708,0.9669097973377856,74.22833517868534,9.518813340869317e-09,18496.5959934287
3,0,0,1,30.0,perfect_channel,0.36452375549139937,27.544463728654378,inf,1.0,0,30,1.0001524215139008,1.9830564112326856,0.9134064314971801,0.8889082043552312,0.9731792701505358,5.635350687326352,6.188979429956235e-10,16152.491776617791
3,1,0,1,30.0,no_ic,0.3555847792727416,27.88752725754022,0.0,1.0,0,45,708.1179342450549,5220649.948047299,0.7245477888866967,0.7071178395435673,0.9759436856885433,250.46891604115774,3.8658205338548125e-07,116189.04874344743
3,1,0,1,30.0,plain_ls,0.3555847792727416,27.88752725754022,8.31584635334723,0.9982080708331758,5,48,39.79725096162162,157716.08167537846,0.7245590923657441,0.7071192586772538,0.9759304191028121,250.49996636210423,5.7471698582591455e-08,116228.48996504267
