trial,arm,receiver,target,gate,t_h1,thr_h1,det_h1,dof_h1,kappa_db,eta_survive,eta_survive_q,s_q_energy,rho_weighted,rho_min,xi_rel,ncp_unit,ncp_best,calib_min_ratio,gate_targets,supported_targets,n_candidates,t_h0,thr_h0,det_h0,dof_h0
3,protected_ls,5,8,4.1877253711577667e-13,8.839995609801164,20.66856907571369,0,28,5.068710766271697,0.7912376236534712,0.9997047904516263,2.6991268853017055e-13,1.7170595399954037e-05,8.532305625131033e-12,6.592564559955037e-13,0.00010080084589845527,8.75439944003773e-05,1.9999999999998694,0,0,0,10.606001235270066,20.66856907571369,0,28
3,tp_uic_stage1,5,8,4.1877253711577667e-13,8.121843378197084,20.66856907571369,0,28,5.068881554403587,0.796202444668947,0.999735310251004,2.6991268853017055e-13,2.9793051240640238e-05,8.64996048592076e-12,7.822981461240643e-13,0.0001749496687795139,0.00015509154707203315,1.1915229335814346,0,0,0,10.29667592528283,20.66856907571369,0,28
3,tp_uic_full,5,8,4.1877253711577667e-13,11.22264841212424,20.66856907571369,0,28,33.954192398462865,0.6933613400796158,0.9868547226257945,2.6991268853017055e-13,3.829041556323795e-05,6.676353736111854e-12,7.283283664921132e-13,0.00024540729025134943,0.00021317196764889377,1.0000013692424619,9,3,126,11.84809963319409,20.66856907571369,0,28
3,perfect_channel,5,8,4.1877253711577667e-13,9.775140285551892,20.66856907571369,0,28,inf,1.0,1.0,2.6991268853017055e-13,4.5199224973358436e-05,9.571284467054182e-12,8.677934631921991e-13,0.0002953084811596319,0.00026085146463026285,1.0,0,0,0,11.523726064471887,20.66856907571369,0,28
4,no_ic,9,5,4.790846925835119e-13,10.134948018801943,20.66856907571369,0,28,0.0,1.0,1.0,1.8733135373114983e-13,0.0002406660398076348,2.151643935908904e-12,1.4968663103047623e-13,0.001976638300127904,0.0019703530384311135,19.294524867396646,0,0,0,21.98119322574769,20.66856907571369,1,28
4,fixed_kappa,9,5,4.790846925835119e-13,9.930038323834683,20.66856907571369,0,28,40.000000000000014,1.0,1.0,1.8733135373114983e-13,0.000308949409439123,3.113692864645e-12,2.468274983675344e-13,0.002603791302646566,0.0025957438625985943,1.0018294524867395,0,0,0,23.314533423716284,20.66856907571369,1,28
4,plain_ls,9,5,4.790846925835119e-13,10.425705880287733,20.66856907571369,0,28,35.89593923494678,0.7784940079585516,0.9558691622148352,1.8733135373114983e-13,0.00020082174066303926,1.41459878888833e-12,6.503622089356888e-14,0.0016491205419070965,0.0016455312204264334,0.9999999999999973,0,0,0,13.02673533605472,20.66856907571369,0,28
4,ridge_ls,9,5,4.790846925835119e-13,8.61444166818631,20.66856907571369,0,28,35.91427590622655,0.7785615181229624,0.955874966431257,1.8733135373114983e-13,0.000210436026772938,1.6724129474690018e-12,8.059627214041014e-14,0.0017280773865847195,0.001722831597260111,0.9999999999999979,0,0,0,15.61514820717071,20.66856907571369,0,28
4,protected_ls,9,5,4.790846925835119e-13,8.838985096491362,20.66856907571369,0,28,7.710376163075576,0.8594468434789572,0.9999999868541396,1.8733135373114983e-13,4.0646615131667144e-05,1.5010784739889089e-12,9.72909953683043e-14,0.0003197611693878291,0.00031770980281216164,1.9999999999996023,0,0,0,24.947842277019404,20.66856907571369,1,28
4,tp_uic_stage1,9,5,4.790846925835119e-13,8.492176719042762,20.66856907571369,0,28,7.710551616010153,0.8599979667718394,0.9999999870773311,1.8733135373114983e-13,4.290635518215374e-05,1.6324438923057674e-12,1.0027429450684378e-13,0.00033756647174310343,0.00033522593196934553,1.7257615304672398,0,0,0,24.84377840812495,20.66856907571369,1,28
4,tp_uic_full,9,5,4.790846925835119e-13,8.46663345101934,20.66856907571369,0,28,35.68626702964575,0.7833305681085699,0.9909101246171151,1.8733135373114983e-13,0.00020521987533324385,1.5849904721119512e-12,7.651957352314981e-14,0.0017250251018651437,0.0017195478402212603,1.0000006913796935,10,3,126,16.507772010316124,20.66856907571369,0,28
4,perfect_channel,9,5,4.790846925835119e-13,9.541861474743387,20.66856907571369,0,28,inf,1.0,1.0,1.8733135373114983e-13,0.00031106075350134654,3.1725040847968186e-12,2.488902781008333e-13,0.0026328328769345327,0.0026247415066576823,1.0,0,0,0,23.59373838700349,20.66856907571369,1,28
5,no_ic,7,6,4.072323342681635e-13,12.819489824362662,20.66856907571369,0,28,0.0,1.0,1.0,1.3743755221193914e-13,0.00010043882994222508,1.66260756746523e-09,1.4762579626283525e-13,0.0004947937559070558,0.0004522159600813519,114.68246975233554,0,0,0,14.454335996537067,20.66856907571369,0,28
5,fixed_kappa,7,6,4.072323342681635e-13,13.450096139074653,20.66856907571369,0,28,39.99999999999999,1.0,1.0,1.3743755221193914e-13,0.00012994754217157556,2.2372163416410714e-09,1.7345052227007955e-13,0.0006585487069883269,0.000603056202651445,1.0113682469752334,0,0,0,15.508155508312576,20.66856907571369,0,28
5,plain_ls,7,6,4.072323342681635e-13,10.079338398679054,20.66856907571369,0,28,34.804026255338826,0.5478713795481953,0.9605483118657457,1.3743755221193914e-13,8.009113342860072e-05,9.120684139171227e-10,7.142097324848264e-14,0.00039453386937999705,0.0003665130055064746,0.9999999999999983,0,0,0,13.584278090989898,20.66856907571369,0,28
5,ridge_ls,7,6,4.072323342681635e-13,10.257724987940843,20.66856907571369,0,28,34.809392430573915,0.5478766277943685,0.9605486660388092,1.3743755221193914e-13,8.3283985235268e-05,1.2536852550553695e-09,1.259418385914205e-13,0.00041026208803912384,0.0003810985380849699,0.9999999999999976,0,0,0,12.552305483931544,20.66856907571369,0,28
5,protected_ls,7,6,4.072323342681635e-13,9.946657244443752,20.66856907571369,0,28,6.530469739763767,0.6471932582598723,0.999981570514794,1.3743755221193914e-13,5.854548568874712e-05,6.40670986175244e-10,8.340070445385165e-14,0.0002794019023273175,0.00025739724726208204,1.9999999999999798,0,0,0,13.37877700109405,20.66856907571369,0,28
