trial,arm,n_nuisance_targets,rho_weighted,rho_min,ncp_unit,distance_bins
3,no_ic,0,1.0,1.0,6.247227514151554,0.0
3,no_ic,1,0.4362508159106418,0.01874316087244194,2.725358100228026,0.5768735627339633
3,no_ic,2,0.08551594771435678,0.0014352949586196938,0.5342375814598753,1.0400701503198688
3,no_ic,3,0.019746972505477085,1.4076322804454534e-06,0.12336382995741069,1.6033534871919548
3,no_ic,5,0.0019720485432091696,6.9252155306947584e-09,0.012319835918378813,2.121604248158995
3,no_ic,9,4.40589679914419e-05,9.314773145836789e-12,0.0002752463970812585,4.895521790878989
3,plain_ls,0,1.0,1.0,6.244887369028632,0.0
3,plain_ls,1,0.43603493504918495,0.018715204494512083,2.722989058343875,0.5768735627339633
3,plain_ls,2,0.08516209209196257,0.0014344165094337872,0.5318276732251502,1.0400701503198688
3,plain_ls,3,0.019546916220643133,1.399140222970172e-06,0.1220682902097552,1.6033534871919548
3,plain_ls,5,0.001502365053356693,5.265818258312306e-09,0.009382100545377239,2.121604248158995
3,plain_ls,9,3.0372872436744125e-05,1.7110688462326332e-12,0.00018967516744134127,4.895521790878989
3,tp_uic_full,0,1.0,1.0,6.409104906319201,0.0
3,tp_uic_full,1,0.4298854148911667,0.01821776925199074,2.755180721734042,0.5768735627339633
3,tp_uic_full,2,0.08414413253884925,0.0014391160276975594,0.5392885726927119,1.0400701503198688
3,tp_uic_full,3,0.0191018028251755,1.3666621400864241e-06,0.12242545820637427,1.6033534871919548
3,tp_uic_full,5,0.0016370808709852756,5.361157611944847e-09,0.010492223042273041,2.121604248158995
3,tp_uic_full,9,3.829041556323795e-05,6.676353736111854e-12,0.00024540729025134943,4.895521790878989
3,perfect_channel,0,1.0,1.0,6.533485504092033,0.0
3,perfect_channel,1,0.4398696225326037,0.02827976658297069,2.8738818025072006,0.5768735627339633
3,perfect_channel,2,0.09761207488337852,0.001478974124570789,0.6377470762748996,1.0400701503198688
3,perfect_channel,3,0.02580391821748736,1.7787905695767869e-06,0.16858952562273,1.6033534871919548
3,perfect_channel,5,0.002072654091384188,1.0354423653296281e-08,0.013541655461055638,2.121604248158995
3,perfect_channel,9,4.5199224973358436e-05,9.571284467054182e-12,0.0002953084811596319,4.895521790878989
