area_m,rcs_m2,trial,n_looks,target,n_links,gamma_mean_db,gamma_min_db,d_prime,pd_pred,required_gain_db
600.0,0.1,30,16,1,1,5.048768912898854,5.048768912898854,2.655343222050641,0.9960386124140361,0.0
600.0,0.1,30,16,2,2,-1.1464723212298926,-1.3396705657996832,1.5270889009895035,0.9366305467669408,0.0
600.0,0.1,30,16,3,3,-2.0623759880571164,-3.667932391496916,1.6594117428259003,0.9514835741841663,0.0
600.0,0.1,30,16,4,1,1.2875686546547247,1.2875686546547247,1.592922888672649,0.9444112545699177,0.0
600.0,0.1,30,16,5,6,-10.19305986957539,-11.785355719231159,-0.5719759378546794,0.28366913812767436,4.421319093298322
600.0,0.1,30,16,6,6,-10.671305800603989,-13.768380847279643,-0.5869770579544655,0.2786095574757268,4.606908269176492
600.0,0.1,30,16,7,6,-8.903540161199256,-14.26223408317316,-0.20770130867268044,0.41773109789490054,2.978996833478198
600.0,0.1,30,16,8,1,1.7815880587809274,1.7815880587809274,1.7485051005279753,0.9598116984134637,0.0
600.0,0.1,30,16,9,1,0.9430238549510048,0.9430238549510048,1.4828046810137903,0.9309368439858902,0.0
600.0,0.1,31,16,0,6,-8.51565659709584,-14.449673080254872,-0.032462372064011896,0.4870516614734163,2.422371552144054
600.0,0.1,31,16,1,6,-12.225447152622275,-13.578275152243034,-0.9783747171242266,0.16394451401868704,6.57896259953224
600.0,0.1,31,16,2,6,-9.810327303286062,-13.318542121114689,-0.4763471444100267,0.31691354183326914,3.983478603989342
600.0,0.1,31,16,3,6,-13.767791613745315,-15.08490392506383,-1.1703132979067496,0.12093745619277452,8.129216614374906
600.0,0.1,31,16,4,6,-12.25052781681117,-13.956079622569675,-0.9741624451608878,0.16498794407961398,6.574813703781875
600.0,0.1,31,16,5,1,2.1979135209762406,2.1979135209762406,1.8769086370826769,0.9697346915521583,0.0
600.0,0.1,31,16,6,1,13.302867338147857,13.302867338147857,3.747927171858592,0.9999108489971326,0.0
600.0,0.1,31,16,7,1,-0.6184829704353093,-0.6184829704353093,0.976939891389701,0.835700544390795,0.0
600.0,0.1,31,16,8,1,1.945446731055592,1.945446731055592,1.7993711150370153,0.9640200022103166,0.0
600.0,0.1,31,16,9,6,-5.775990776416171,-8.725249626335467,0.8796787746285196,0.8104833245459724,0.0
600.0,0.1,31,64,0,6,-8.51565659709584,-14.449673080254872,1.2887303288270362,0.9012540726338931,0.0
600.0,0.1,31,64,1,6,-12.225447152622275,-13.578275152243034,-0.41349390242051925,0.3396223944743807,3.353960073531824
600.0,0.1,31,64,2,4,-8.87552233861219,-10.93021737952399,0.4191649905357454,0.6624522219104032,0.9348254178809272
600.0,0.1,31,64,3,6,-13.767791613745315,-15.08490392506383,-0.767706814764349,0.22133069329788552,4.905936426806124
600.0,0.1,31,64,4,6,-11.90136400154649,-13.268902568696877,-0.32844981418589203,0.3712857919003782,3.042062045643333
600.0,0.1,31,64,5,1,2.1979135209762406,2.1979135209762406,4.37246476432709,0.9999938574175314,0.0
600.0,0.1,31,64,6,1,13.302867338147857,13.302867338147857,7.5693058329895875,0.9999999999999812,0.0
600.0,0.1,31,64,7,1,-0.40763179258901167,-0.40763179258901167,2.9514210408415016,0.9984184229567281,0.0
600.0,0.1,31,64,8,1,1.945446731055592,1.945446731055592,4.23998337505663,0.9999888231829177,0.0
600.0,0.1,31,64,9,2,-5.224744401839102,-5.228179267802513,1.3477262658279734,0.9111267795691123,0.0
600.0,0.1,32,16,0,1,4.261469038188384,4.261469038188384,2.460953760778226,0.9930715888256921,0.0
600.0,0.1,32,16,1,1,1.92798434634113,1.92798434634113,1.7939698354569398,0.9635910082069923,0.0
600.0,0.1,32,16,2,6,-5.806897281184344,-11.842179073012035,0.9475983778896382,0.8283330238565427,0.0
600.0,0.1,32,16,3,6,-10.382509876402501,-13.418336855956861,-0.5763064471312375,0.28220403294131313,4.479785916825571
600.0,0.1,32,16,4,1,3.495462411191781,3.495462411191781,2.255814253593553,0.9879588668484529,0.0
600.0,0.1,32,16,5,1,2.8843944103074954,2.8843944103074954,2.081841692996347,0.9813215339715592,0.0
600.0,0.1,32,16,6,1,-21.165890242426784,-21.165890242426784,-1.6020228598750808,0.054575277262081834,20.127088856376393
600.0,0.1,32,16,7,1,5.64140848294119,5.64140848294119,2.790102718301347,0.9973654339096767,0.0
600.0,0.1,32,16,8,1,2.6962799622698297,2.6962799622698297,2.02661499259754,0.9786490989590007,0.0
600.0,0.1,32,16,9,6,-6.739336718326254,-14.137835511527703,0.7452710962416612,0.7719460746988092,0.24726547902717247
600.0,0.1,31,128,0,2,-6.763962402240641,-8.590798683391153,1.5308328592985347,0.937094646867867,0.0
600.0,0.1,31,128,1,6,-12.214422120393253,-13.578275152243034,0.05804947746385633,0.5231453911873082,1.7778517769111772
600.0,0.1,31,128,2,2,-8.264580525055738,-8.393378154613075,0.6456691065207187,0.7407531640311914,0.4123440703041082
600.0,0.1,31,128,3,6,-13.767791613745315,-15.08490392506383,-0.43417668353051464,0.33208007173235715,3.3402095714948947
600.0,0.1,31,128,4,6,-12.25052781681117,-13.956079622569675,0.060631476769811725,0.5241736476029667,1.7750016700471474
600.0,0.1,31,128,5,1,-3.513522265180641,-3.513522265180641,2.3476755842993,0.9905545165041643,0.0
600.0,0.1,31,128,6,1,13.302867338147857,13.302867338147857,10.735039569796783,1.0,0.0
600.0,0.1,31,128,7,1,-0.40763179258901167,-0.40763179258901167,4.53057558475012,0.9999970588397791,0.0
600.0,0.1,31,128,8,1,1.945446731055592,1.945446731055592,6.26185277224498,0.9999999998097849,0.0
600.0,0.1,31,128,9,1,-5.22131225038884,-5.22131225038884,1.3495450271820881,0.9114190160965518,0.0
600.0,0.1,32,64,0,1,-2.487189210759312,-2.487189210759312,1.8332239063060063,0.9666153599497486,0.0
600.0,0.1,32,64,1,1,1.92798434634113,1.92798434634113,4.230754694493622,0.9999883545720162,0.0
600.0,0.1,32,64,2,2,-4.270921026390212,-5.015486381777854,1.8977982929455564,0.97113867090712,0.0
600.0,0.1,32,64,3,6,-10.382509876402501,-13.418336855956861,0.3054039875681635,0.6199707574307793,1.2113966619250154
600.0,0.1,32,64,4,1,3.495462411191781,3.495462411191781,5.0198667079716115,0.9999997414632685,0.0
600.0,0.1,32,64,5,1,-2.0261279580072427,-2.0261279580072427,2.072630933856459,0.9808966800545253,0.0
600.0,0.1,32,64,6,6,-17.614310083534264,-18.96434834048395,-1.2753806069404292,0.10108727970991843,8.770195110254956
600.0,0.1,32,64,7,1,-1.0961019891957637,-1.0961019891957637,2.5722246665267345,0.9949476352628353,0.0
600.0,0.1,32,64,8,1,-0.11003141881545336,-0.11003141881545336,3.1164867457733876,0.9990849004621402,0.0
600.0,0.1,32,64,9,1,-3.1735996256442633,-3.1735996256442633,1.4900183119324129,0.9318902894414337,0.0
600.0,0.1,32,128,0,1,-2.487189210759312,-2.487189210759312,3.028196430292994,0.9987699094220049,0.0
600.0,0.1,32,128,1,1,-4.132919375879747,-4.132919375879747,1.964820636369259,0.975282499571593,0.0
600.0,0.1,32,128,2,1,-3.6355185559724705,-3.6355185559724705,2.2704980849681107,0.9884113103217624,0.0
600.0,0.1,32,128,3,6,-10.482301631330488,-14.81015517772321,1.014978377837852,0.8449419327338495,0.0
600.0,0.1,32,128,4,1,3.495462411191781,3.495462411191781,7.309682735399677,0.9999999999998661,0.0
600.0,0.1,32,128,5,1,-2.0261279580072427,-2.0261279580072427,3.349857179112348,0.9995957338110609,0.0
600.0,0.1,32,128,6,6,-17.614310083534264,-18.96434834048395,-1.1347981074522249,0.1282299596990213,7.205065153224719
600.0,0.1,32,128,7,1,-1.0961019891957637,-1.0961019891957637,4.021097684457626,0.999971036212333,0.0
600.0,0.1,32,128,8,1,-3.577839126848553,-3.577839126848553,2.3068820115711923,0.9894693006959074,0.0
600.0,0.1,32,128,9,1,-3.5426188158280447,-3.5426188158280447,2.3291918726682836,0.9900755483593615,0.0
600.0,0.1,33,64,0,3,-8.34124563204329,-9.072357058674761,0.34559460385405166,0.6351762990609717,1.1313957524810898
