trial,budget,method,pd,pfa,reports,observations,bits,delay_ms,detected_per_target,capture,seconds_two_methods
39,0,proposed_c2f_adaptive_pd,1.0,0.043333333333333335,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.239682300016284
39,0,sense_sinr_budgeted,0.3,0.006666666666666667,0,12,0.0,0.0,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0]",1.0,1.2396972000133246
40,0,proposed_c2f_adaptive_pd,1.0,0.03,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.2539743999950588
40,0,sense_sinr_budgeted,0.4,0.013333333333333334,0,12,0.0,0.0,"[0, 1, 1, 0, 0, 1, 0, 1, 0, 0]",1.0,1.2539887999882922
41,0,proposed_c2f_adaptive_pd,1.0,0.04666666666666667,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.191434899927117
41,0,sense_sinr_budgeted,0.4,0.02666666666666667,0,12,0.0,0.0,"[0, 0, 1, 1, 1, 0, 0, 0, 0, 1]",0.9166666666666666,1.1914469000184909
42,0,proposed_c2f_adaptive_pd,1.0,0.06333333333333334,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1531999999424443
42,0,sense_sinr_budgeted,0.5,0.04,0,12,0.0,0.0,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 1]",1.0,1.153208600007929
43,0,proposed_c2f_adaptive_pd,0.9,0.05,0,10,0.0,0.0,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",1.0,1.1034078999655321
43,0,sense_sinr_budgeted,0.7,0.03,0,12,0.0,0.0,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 1]",1.0,1.1034168000333011
44,0,proposed_c2f_adaptive_pd,1.0,0.056666666666666664,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.123975700000301
44,0,sense_sinr_budgeted,0.6,0.03666666666666667,0,12,0.0,0.0,"[1, 1, 0, 1, 1, 1, 0, 1, 0, 0]",1.0,1.1239845000673085
45,0,proposed_c2f_adaptive_pd,1.0,0.06666666666666667,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1602528999792412
45,0,sense_sinr_budgeted,0.3,0.013333333333333334,0,12,0.0,0.0,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",1.0,1.1602617000462487
46,0,proposed_c2f_adaptive_pd,1.0,0.04666666666666667,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.1103298000525683
46,0,sense_sinr_budgeted,0.3,0.01,0,12,0.0,0.0,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",1.0,1.1103411000221968
47,0,proposed_c2f_adaptive_pd,0.8,0.05,0,12,0.0,0.0,"[0, 1, 1, 0, 1, 1, 1, 1, 1, 1]",1.0,1.1228863999713212
47,0,sense_sinr_budgeted,0.6,0.02,0,12,0.0,0.0,"[0, 1, 1, 0, 0, 1, 1, 1, 0, 1]",1.0,1.12289460003376
48,0,proposed_c2f_adaptive_pd,1.0,0.06666666666666667,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.150885900016874
48,0,sense_sinr_budgeted,0.3,0.016666666666666666,0,12,0.0,0.0,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",1.0,1.1508942000800744
49,0,proposed_c2f_adaptive_pd,0.9,0.05333333333333334,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",1.0,1.0603415999794379
49,0,sense_sinr_budgeted,0.5,0.03333333333333333,0,12,0.0,0.0,"[1, 0, 1, 0, 1, 0, 1, 1, 0, 0]",1.0,1.0603500999277458
50,0,proposed_c2f_adaptive_pd,1.0,0.06,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0521904000779614
