trial,budget,method,pd,pfa,reports,observations,bits,delay_ms,detected_per_target,capture,seconds_two_methods
39,0,proposed_c2f_adaptive_pd,1.0,0.06333333333333334,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3614390000002459
39,0,sense_sinr_budgeted,1.0,0.05,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3614577000262216
40,0,proposed_c2f_adaptive_pd,1.0,0.05333333333333334,0,15,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.8950602000113577
40,0,sense_sinr_budgeted,1.0,0.04,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.8950970000587404
41,0,proposed_c2f_adaptive_pd,1.0,0.03666666666666667,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.332012299913913
41,0,sense_sinr_budgeted,1.0,0.06,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3320304999360815
42,0,proposed_c2f_adaptive_pd,1.0,0.07,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3929274999536574
42,0,sense_sinr_budgeted,1.0,0.05,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.392946399981156
43,0,proposed_c2f_adaptive_pd,1.0,0.06,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3384369999403134
43,0,sense_sinr_budgeted,1.0,0.06333333333333334,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3384726999793202
44,0,proposed_c2f_adaptive_pd,1.0,0.04,0,21,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,2.34573930001352
44,0,sense_sinr_budgeted,1.0,0.023333333333333334,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,2.345757900038734
45,0,proposed_c2f_adaptive_pd,1.0,0.056666666666666664,0,12,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.540816399967298
45,0,sense_sinr_budgeted,1.0,0.05,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.5408352999947965
46,0,proposed_c2f_adaptive_pd,0.9,0.04,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",1.0,1.3987824999494478
46,0,sense_sinr_budgeted,1.0,0.05333333333333334,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.398818499990739
47,0,proposed_c2f_adaptive_pd,1.0,0.03333333333333333,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.317685900023207
47,0,sense_sinr_budgeted,1.0,0.023333333333333334,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.317726300098002
48,0,proposed_c2f_adaptive_pd,1.0,0.06,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3557365000015125
48,0,sense_sinr_budgeted,1.0,0.05333333333333334,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.3557557000312954
49,0,proposed_c2f_adaptive_pd,1.0,0.02,0,11,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.6076099999481812
49,0,sense_sinr_budgeted,1.0,0.05333333333333334,0,60,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.6076288999756798
50,0,proposed_c2f_adaptive_pd,1.0,0.06333333333333334,0,10,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.2547128999140114
