split,scene_id,error_radius_m,error_angle_rad,true_delta_x_m,true_delta_y_m,nominal_h1,self_fit_h1,local_crossfit_h1,shared_crossfit_h1,oracle_h1,estimated_delta_a_x,estimated_delta_a_y,estimated_delta_b_x,estimated_delta_b_y,state_error_a_m,state_error_b_m,objective_a,objective_b,self_fit_state_error_m,nominal_h0,self_fit_h0,local_crossfit_h0,shared_crossfit_h0,oracle_h0,runtime_s
test,29,150.0,5.692120395889679,-124.55215993789204,83.586837808388,175.71873823943577,134388.63676502366,138770.2881198404,134388.63676502366,147287.53616810509,-131.25,103.125,-131.25,103.125,20.654317788862336,20.654317788862336,31331.77294836661,91989.9583894238,20.654317788862336,75.15869954030579,111.21500209764514,94.47978571800743,78.72471116403486,90.3993242650798,1185.7545485000592
test,37,150.0,1.913449797398052,50.39812304568625,-141.2799674174363,140.54505572991036,473.26670499016797,464.3244521524695,473.1564690557294,473.7252377757336,56.25,-140.625,56.25,-131.25,5.888416273186838,11.612265510367136,228.37949410553801,240.29833304479158,8.750340891776986,65.57924157390491,113.31563696114559,102.34176432687084,93.90972488763859,65.20961880261791,1188.9464187000412
calibration,6,150.0,4.256579604238514,66.02838012481533,134.68575655240198,102.43254293331026,151.19650151375487,126.3459059934992,145.08035364215402,150.72564965280583,65.625,168.75,56.25,121.875,34.066631726402306,16.116209272353526,65.81854573377204,69.4936489915059,25.091420499377918,87.02474735140535,109.79800421376726,99.20824943345275,81.46465633366714,96.10667547436016,1083.443092700094
calibration,14,150.0,2.143024080563261,81.2259384280163,-126.10450795466471,90.54772104973617,160.5544190545185,120.23541003146644,109.24273466867857,156.43357874355968,84.375,-131.25,-75.0,-450.0,6.032634347675412,359.6037174515917,85.48360431236114,56.7057395946351,182.81817589963356,88.9517788862195,111.43183400508022,98.57910982430383,81.83291845125791,68.18394534942942,1088.933724100003
test,22,150.0,2.063734096775517,70.98239168437004,-132.1419693767528,80.79409939081475,209.20625900300445,196.29543918919234,211.4776465412023,210.58875292222098,75.0,-140.625,75.0,-131.25,9.386319040644675,4.115432656098719,116.68690528527054,81.20583556331947,6.750875848371697,77.07539108554124,97.63448470271838,80.66519354183362,69.38989368123212,54.590495808191854,1145.278602299979
test,30,150.0,2.1599293647843907,83.34606298715568,-124.71340659504526,227.77623546753333,1182.7221790491892,1174.1177696932493,1167.7651978554206,1191.131680090648,84.375,-121.875,75.0,-121.875,3.019149445654754,8.815515832007016,579.2135025798877,585.8644813037246,5.917332638830885,80.0124372116797,116.35671530080214,75.19712513409783,76.91540903003265,74.3215278008165,1183.3248839001171
test,38,150.0,3.7768309892833605,120.73954473523524,89.00540622416219,85.21952227654279,108.9782435892341,84.40631106033155,77.20454202436757,104.09821110730772,-262.5,-103.125,0.0,159.375,428.7034425389327,139.7494808256843,46.85563141546829,43.56335372535228,284.22646168230847,72.95476700690458,111.1854407094366,66.28758202154663,72.15096332654386,79.56259554324765,1186.290912500117
calibration,7,150.0,3.3597841743751955,146.44357754543876,32.46965653795965,234.5017348190451,3674.6164181898575,3024.2616633808366,3635.827759521999,4930.023935759304,140.625,-84.375,150.0,28.125,116.98944228487476,5.614639891225702,1048.7634376738968,2241.4553065116224,61.30204108805023,74.9221010195003,124.67326596884709,97.52475512875131,86.51213753517476,98.960263763937,1072.9903220001142
calibration,15,150.0,3.1054299523081235,149.90193011590023,-5.423222983408401,95.35662083519307,565.8529007937284,558.8349439988887,563.7779821763884,565.2212826082279,150.0,0.0,150.0,-9.375,5.4241096255456025,3.9529937124954984,230.48924387940679,305.3922655265777,4.68855166902055,74.25973603177991,102.66769124628648,77.31513136240423,92.80349053665913,81.25168258916713,1096.4825191998389
test,23,150.0,6.1535091244505145,-148.74057292528866,19.396957644354472,93.70325521195797,122.37464807673513,100.09184950762294,108.78226924409148,113.39559467820338,-168.75,-75.0,-234.375,-84.375,96.49436659395326,134.54320604830164,56.48533496179744,50.64853307519468,115.51878632112745,75.33778373353414,113.43797775759126,72.35185212757455,73.70261577575552,79.83603992503362,1138.8228824001271
