trial,budget,joint_F,nearest_exact_F,nearest_c2f_F,placement_gap,selection_gap,total_gap,joint_feasible_pairs,candidate_pairs_before_caps,joint_mean_predicted_pd,c2f_mean_predicted_pd,c2f_reports,joint_reports,joint_plan,joint_sets,nearest_plan,c2f_sets
47,1,-0.13158411953636787,-0.13158411953636787,-0.13158411953636753,0.0,-3.3306690738754696e-16,-3.3306690738754696e-16,6816,118336,0.47164468882797,0.47164468882797006,1,1,"[2, 0]","[[[1, 2]], [[0, 3], [1, 0], [3, 0]]]","[2, 0]","[[[1, 2]], [[3, 0], [0, 3], [1, 0]]]"
47,2,-0.13158411953636787,-0.13158411953636787,-0.13158411953636753,0.0,-3.3306690738754696e-16,-3.3306690738754696e-16,19416,118336,0.47164468882797,0.47164468882797006,1,1,"[2, 0]","[[[1, 2]], [[0, 3], [1, 0], [3, 0]]]","[2, 0]","[[[1, 2]], [[3, 0], [0, 3], [1, 0]]]"
47,4,-0.13158411953636787,-0.13158411953636787,-0.13158411953636753,0.0,-3.3306690738754696e-16,-3.3306690738754696e-16,32640,118336,0.47164468882797,0.47164468882797006,1,1,"[2, 0]","[[[1, 2]], [[0, 3], [1, 0], [3, 0]]]","[2, 0]","[[[1, 2]], [[3, 0], [0, 3], [1, 0]]]"
48,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,361201,0.9727951570071175,0.9937023577310473,0,0,"[2, 0]","[[[0, 2], [1, 2]], [[3, 0]]]","[2, 3]","[[[3, 2], [1, 2]], [[0, 3]]]"
48,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,8784,361201,0.9727951570071175,0.9937023577310473,0,0,"[2, 0]","[[[0, 2], [1, 2]], [[3, 0]]]","[2, 3]","[[[3, 2], [1, 2]], [[0, 3]]]"
48,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,31944,361201,0.9727951570071175,0.9937023577310473,0,0,"[2, 0]","[[[0, 2], [1, 2]], [[3, 0]]]","[2, 3]","[[[3, 2], [1, 2]], [[0, 3]]]"
48,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,69889,361201,0.9727951570071175,0.9937023577310473,0,0,"[2, 0]","[[[0, 2], [1, 2]], [[3, 0]]]","[2, 3]","[[[3, 2], [1, 2]], [[0, 3]]]"
49,0,0.5251588897801001,0.5251588897801001,0.5251588897801001,0.0,0.0,0.0,912,158404,0.6774576711339269,0.6774576711339269,0,0,"[0, 0]","[[[1, 0]], [[1, 0], [2, 0], [3, 0]]]","[0, 0]","[[[1, 0]], [[2, 0], [3, 0], [1, 0]]]"
49,1,0.6389688535156882,0.6389688535156882,0.6389688535156882,0.0,0.0,0.0,6816,158404,0.7004166541332923,0.7004166541332923,1,1,"[0, 0]","[[[1, 0]], [[0, 3], [2, 0], [3, 0]]]","[0, 0]","[[[1, 0]], [[2, 0], [3, 0], [0, 3]]]"
49,2,0.6389688535156882,0.6389688535156882,0.6389688535156882,0.0,0.0,0.0,20784,158404,0.7004166541332923,0.7004166541332923,1,1,"[0, 0]","[[[1, 0]], [[0, 3], [2, 0], [3, 0]]]","[0, 0]","[[[1, 0]], [[2, 0], [3, 0], [0, 3]]]"
49,4,0.6389688535156882,0.6389688535156882,0.6389688535156882,0.0,0.0,0.0,38229,158404,0.7004166541332923,0.7004166541332923,1,1,"[0, 0]","[[[1, 0]], [[0, 3], [2, 0], [3, 0]]]","[0, 0]","[[[1, 0]], [[2, 0], [3, 0], [0, 3]]]"
50,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,118336,0.9854336028644651,0.9863754398062838,0,0,"[0, 0]","[[[3, 0]], [[3, 0]]]","[3, 3]","[[[0, 3]], [[0, 3]]]"
50,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,6816,118336,0.9854336028644651,0.9863754398062838,0,0,"[0, 0]","[[[3, 0]], [[3, 0]]]","[3, 3]","[[[0, 3]], [[0, 3]]]"
50,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,19416,118336,0.9854336028644651,0.9863754398062838,0,0,"[0, 0]","[[[3, 0]], [[3, 0]]]","[3, 3]","[[[0, 3]], [[0, 3]]]"
50,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,32640,118336,0.9854336028644651,0.9863754398062838,0,0,"[0, 0]","[[[3, 0]], [[3, 0]]]","[3, 3]","[[[0, 3]], [[0, 3]]]"
51,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,49284,0.9562177048034535,0.9733007056908298,0,0,"[3, 3]","[[[0, 3], [1, 3]], [[1, 3], [2, 3]]]","[3, 3]","[[[1, 3], [2, 3]], [[2, 3], [1, 3]]]"
51,1,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,4848,49284,0.9562177048034535,0.9733007056908298,0,0,"[3, 3]","[[[0, 3], [1, 3]], [[1, 3], [2, 3]]]","[3, 3]","[[[1, 3], [2, 3]], [[2, 3], [1, 3]]]"
51,2,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,11208,49284,0.9562177048034535,0.9733007056908298,0,0,"[3, 3]","[[[0, 3], [1, 3]], [[1, 3], [2, 3]]]","[3, 3]","[[[1, 3], [2, 3]], [[2, 3], [1, 3]]]"
51,4,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,16409,49284,0.9562177048034535,0.9733007056908298,0,0,"[3, 3]","[[[0, 3], [1, 3]], [[1, 3], [2, 3]]]","[3, 3]","[[[1, 3], [2, 3]], [[2, 3], [1, 3]]]"
52,0,1.623146788961245,1.623146788961245,1.623146788961245,0.0,0.0,0.0,912,736164,0.8899233032290357,0.8899233032290357,0,0,"[2, 3]","[[[0, 2], [3, 2]], [[0, 3], [2, 3]]]","[2, 3]","[[[3, 2], [0, 2]], [[2, 3], [0, 3]]]"
52,1,1.7305335427208652,1.7305335427208652,1.7305335427208652,0.0,0.0,0.0,10752,736164,0.9425558588298818,0.9425558588298818,1,1,"[2, 2]","[[[0, 2], [3, 2]], [[2, 3], [3, 2]]]","[2, 3]","[[[3, 2], [0, 2]], [[2, 3], [3, 2]]]"
52,2,1.7305335427208652,1.7305335427208652,1.7305335427208652,0.0,0.0,0.0,46056,736164,0.9425558588298818,0.9425558588298818,1,1,"[2, 2]","[[[0, 2], [3, 2]], [[2, 3], [3, 2]]]","[2, 3]","[[[3, 2], [0, 2]], [[2, 3], [3, 2]]]"
52,4,1.7305335427208652,1.7305335427208652,1.7305335427208652,0.0,0.0,0.0,118436,736164,0.9425558588298818,0.9425558588298818,1,1,"[2, 2]","[[[0, 2], [3, 2]], [[2, 3], [3, 2]]]","[2, 3]","[[[3, 2], [0, 2]], [[2, 3], [3, 2]]]"
53,0,0.8305018766477619,0.8305018766477619,0.8305018766477619,0.0,0.0,0.0,912,1430416,0.7274770794419447,0.7276621110568353,0,0,"[0, 0]","[[[2, 0]], [[1, 0], [2, 0], [3, 0]]]","[2, 0]","[[[0, 2]], [[2, 0], [1, 0], [3, 0]]]"
53,1,0.9911247302362732,0.9911247302362732,0.9911247302362732,0.0,0.0,0.0,12720,1430416,0.7614954948713374,0.7616805264862281,1,1,"[0, 0]","[[[2, 0]], [[0, 2], [1, 0], [2, 0]]]","[2, 0]","[[[0, 2]], [[2, 0], [0, 2], [1, 0]]]"
53,2,0.9911247302362732,0.9911247302362732,0.9911247302362732,0.0,0.0,0.0,63120,1430416,0.7614954948713374,0.7616805264862281,1,1,"[0, 0]","[[[2, 0]], [[0, 2], [1, 0], [2, 0]]]","[2, 0]","[[[0, 2]], [[2, 0], [0, 2], [1, 0]]]"
53,4,0.9911247302362732,0.9911247302362732,0.9911247302362732,0.0,0.0,0.0,191376,1430416,0.7614954948713374,0.7616805264862281,1,1,"[0, 0]","[[[2, 0]], [[0, 2], [1, 0], [2, 0]]]","[2, 0]","[[[0, 2]], [[2, 0], [0, 2], [1, 0]]]"
54,0,1.7613705638880106,1.7613705638880106,1.7613705638880106,0.0,0.0,0.0,912,736164,0.971285199657369,0.9744453603677588,0,0,"[3, 0]","[[[0, 3], [2, 3]], [[1, 0]]]","[3, 1]","[[[0, 3], [2, 3]], [[0, 1]]]"
