split,scene_id,boost_db,two_cpi_h0,two_cpi_h1,perfect_two_cpi_h0,perfect_two_cpi_h1,crossfit_map_h0,crossfit_map_h1
test,52,30.0,14.013294792722265,39.50366596396162,21.406981064710312,44.06454096441809,13.492698957877774,35.67912298700094
test,53,30.0,13.512984883517746,29.90009358935099,14.171120943626129,28.31933365103946,13.32421713718673,29.366506418228653
test,54,30.0,10.244946827882515,17.057852064860263,10.400376737570854,18.820512422400792,10.050350990490212,17.073574099894522
test,55,30.0,13.865207983812414,15.675937526200594,14.1396723098106,15.513796902821902,13.91695007676634,15.579433053968533
test,56,30.0,11.791310339502719,12.455092713324408,11.002375038474039,12.482656680027766,11.596561683531856,12.00952794000352
test,57,30.0,8.23297098811522,20.498634491392995,9.324208725951461,19.966167110053906,7.997597929543916,20.552131612640885
test,58,30.0,14.815355130870026,12.869274152193096,12.514739430975972,11.959722170916688,14.909958467559091,12.715021333979456
test,59,30.0,17.072145319908696,22.619146897614463,17.50519253465562,22.762056444601825,17.06395211190523,22.253009971216837
test,60,30.0,13.571274716178115,13.88245023294439,15.782702734228625,15.689057652537947,13.223774777252958,13.944658413358901
test,61,30.0,12.770019602137253,13.719579659401566,11.623067416253306,13.805538875432099,12.72272661916567,13.584879754956852
test,62,30.0,10.795692955651504,12.681536983468709,11.048175238066877,11.575606355989615,10.923719740357015,12.72587344759334
test,63,30.0,20.22707778619128,15.107189295080556,20.598533088009635,14.9209233129533,20.129057215523908,14.916921102578948
test,64,30.0,15.142505698169442,9.395597947080502,13.633922728725535,8.799264191435205,14.897394503513759,9.66336520242947
test,65,30.0,7.52202038488061,13.479556884520928,7.496567954111746,13.453866916053244,7.464709331821966,13.483113982672215
test,66,30.0,10.689753169968107,16.932398743787225,10.020554349678646,16.14554585026943,10.743149473427295,16.504373242898993
test,67,30.0,9.296732074540095,25.887006892738206,13.384607819244358,105.3382082154572,8.104323648448318,26.62993118303307
test,68,30.0,14.425165417017283,21.068693741468834,15.52785077340603,24.413632097086573,15.41745753547605,22.810806419327786
