m_rx,delta_bw,delta_u,rho,rho_analytic,kind,q,r,dd_sep_bins,du_x,du_y,rho_weighted_x,rho_weighted_y,rho_median,n_templates
,,,,,pair,7,9,0.3111726666193828,0.49179393830920626,0.6516425803308306,,,,
,,,,,pair,0,2,0.4946052738844878,0.743968286579626,1.063313803064956,,,,
,,,,,pair,0,3,0.16480366111968348,0.5843769872286416,0.21901060803895356,,,,
,,,,,pair,2,4,0.37279096329244776,0.8954351554919796,0.1376956181462276,,,,
,,,,,pair,5,9,0.24937473701481405,0.23444299766075122,0.06174584862540944,,,,
,,,,,pair,7,9,0.20698841160694847,0.2613376720301879,0.07899547354765835,,,,
,,,,,pair,8,9,0.4917214052669059,0.100579343165552,0.5084272627749964,,,,
1,,,,,scene,,,,,,0.22785611388039223,0.22785611388039223,0.0004101736598454975,140.0
4,,,,,scene,,,,,,0.7298923053226842,0.7451487193760585,0.7417490311949676,140.0
8,,,,,scene,,,,,,0.8714918834939909,0.8704729530964269,0.940556183021102,140.0
16,,,,,scene,,,,,,0.9327919291472568,0.9440570148487869,0.9783077405341196,140.0
