trial,budget,joint_F,nearest_exact_F,nearest_c2f_F,placement_gap,selection_gap,total_gap,joint_feasible_pairs,candidate_pairs_before_caps,joint_mean_predicted_pd,c2f_mean_predicted_pd,c2f_reports,joint_reports,joint_plan,joint_sets,nearest_plan,c2f_sets,M,polished_F,polished_gap,accepted
4,2,1.4700489308443128,1.4700489308443128,1.4700489308443125,0.0,2.220446049250313e-16,2.220446049250313e-16,31944,361201,0.8792768607147659,0.8792435225553166,1,1,"[2, 0]","[[[3, 2]], [[0, 3], [2, 0], [3, 0]]]","[3, 0]","[[[2, 3]], [[0, 3], [3, 0], [2, 0]]]",4,1.4700489308443128,0.0,0
4,4,1.4700489308443128,1.4700489308443128,1.4700489308443125,0.0,2.220446049250313e-16,2.220446049250313e-16,69889,361201,0.8792768607147659,0.8792435225553166,1,1,"[2, 0]","[[[3, 2]], [[0, 3], [2, 0], [3, 0]]]","[3, 0]","[[[2, 3]], [[0, 3], [3, 0], [2, 0]]]",4,1.4700489308443128,0.0,0
5,0,1.6700001164196427,1.6700001164196427,1.6700001164196427,0.0,0.0,0.0,912,474721,0.9138014555906345,0.9132662451878591,0,0,"[3, 1]","[[[0, 3]], [[0, 1], [2, 1], [3, 1]]]","[3, 1]","[[[2, 3]], [[2, 1], [0, 1], [3, 1]]]",4,1.6700001164196427,0.0,0
5,1,1.7560372305546772,1.7560372305546772,1.7560372305546772,0.0,0.0,0.0,9768,474721,0.9538045607725623,0.9532693503697869,1,1,"[3, 1]","[[[0, 3]], [[0, 1], [1, 2], [2, 1]]]","[3, 1]","[[[2, 3]], [[2, 1], [1, 2], [0, 1]]]",4,1.7560372305546772,0.0,0
5,2,1.7560372305546772,1.7560372305546772,1.7305867178552148,0.0,0.025450512699462413,0.025450512699462413,38118,474721,0.9538045607725623,0.9411380342556561,2,1,"[3, 1]","[[[0, 3]], [[0, 1], [1, 2], [2, 1]]]","[3, 1]","[[[2, 3]], [[2, 1], [1, 2], [0, 2]]]",4,1.7560372305546772,0.0,1
5,4,1.7560372305546772,1.7560372305546772,1.7305867178552148,0.0,0.025450512699462413,0.025450512699462413,87681,474721,0.9538045607725623,0.9411380342556561,2,1,"[3, 1]","[[[0, 3]], [[0, 1], [1, 2], [2, 1]]]","[3, 1]","[[[2, 3]], [[2, 1], [1, 2], [0, 2]]]",4,1.7560372305546772,0.0,1
6,0,-0.5241103033075296,-0.5241103033075296,-0.5241103033075296,0.0,0.0,0.0,912,361201,0.17481035818663734,0.17481035818663734,0,0,"[1, 1]","[[[0, 1], [2, 1], [3, 1]], [[3, 1]]]","[1, 1]","[[[3, 1], [0, 1], [2, 1]], [[3, 1]]]",4,-0.5241103033075296,0.0,0
6,1,-0.5116661096680083,-0.5116661096680083,-0.5116661096680083,0.0,0.0,0.0,8784,361201,0.18463746374766407,0.18463746374766402,1,1,"[1, 1]","[[[0, 1], [1, 0], [3, 1]], [[3, 1]]]","[1, 1]","[[[3, 1], [0, 1], [1, 0]], [[3, 1]]]",4,-0.5116661096680083,0.0,0
6,2,-0.5116661096680083,-0.5116661096680083,-0.5116661096680083,0.0,0.0,0.0,31944,361201,0.18463746374766407,0.18463746374766402,1,1,"[1, 1]","[[[0, 1], [1, 0], [3, 1]], [[3, 1]]]","[1, 1]","[[[3, 1], [0, 1], [1, 0]], [[3, 1]]]",4,-0.5116661096680083,0.0,0
6,4,-0.5116661096680083,-0.5116661096680083,-0.5116661096680083,0.0,0.0,0.0,69889,361201,0.18463746374766407,0.18463746374766402,1,1,"[1, 1]","[[[0, 1], [1, 0], [3, 1]], [[3, 1]]]","[1, 1]","[[[3, 1], [0, 1], [1, 0]], [[3, 1]]]",4,-0.5116661096680083,0.0,0
